,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418
114,article,code,santé,publique,complété,rédigé,pharmaciens,officine,application,article,compléter,liste,professionnels,santé,autorisés,prescrire,substituts,nicotiniques,incluant,derniers,ligne,face,millions,fumeurs,candidats,arrêt,disposent,multiples,opportunités,aborder,sujet,proposer,solutions,pharmaciens,ailleurs,déjà,impliqués,aide,arrêt,tabac,intervention,mérite,formalisée,intégrée,parcours,aide,sevrage,tabagique,titre,autoriser,pharmaciens,officine,prescrire,substituts,nicotiniques,insérerait,souci,simplification,parcours,sevrage,tabagique,accessibilité,traitements,substitution,nicotinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,délai,mois,compter,promulgation,présente,gouvernement,remet,parlement,financement,évolution,financement,missions,recherche,innovation,sein,établissements,publics,financement,recherche,innovation,sein,établissements,publics,santé,actuellement,confronté,difficultés,voire,véritables,impasses,financement,recherche,innovation,travers,crédits,fléchés,merri,missions,enseignement,recherche,recours,innovation,montants,évolué,années,voire,ponctionnés,gels,devenus,définitifs,atteindre,objectif,donner,lisibilité,sérénité,missions,nécessitant,projections,moyen,long,enveloppes,distribuées,établissements,utilisées,fins,recherche,innovation,enveloppe,merri,destinée,financer,actes,biologie,finance,attente,intégration,nomenclature,actes,biologie,médicale,actes,devenus,courants,années,génère,impasse,financement,ordre,millions,euros,freine,lieu,favoriser,développement,crédits,fléchés,recherche,innovation,servent,variable,ajustement,clarification,puisse,faite,réaliser,bilan,égard,transformation,système,santé,engagée,gouvernement,agit,évaluer,utilisation,crédits,mesurer,impacts,concrets,organisation,fonctionnement,établissements,publics,santé,envisager,évolution,financement,missions,recherche,innovation,sein,dépenses,relatives,établissements,santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,code,santé,publique,modifié,article,complétée,mots,mise,réserve,constituée,relatif,dépenses,soins,ville,conditions,définies,article,article,rédigée,répartition,régionale,crédits,modalités,constitution,utilisation,mise,réserve,visée,article,fixées,année,arrêté,ministres,chargés,santé,budget,sécurité,sociale,avis,conseil,national,pilotage,agences,régionales,santé,regard,avis,mentionné,article,code,sécurité,sociale,vise,faire,sorte,mises,réserve,prudentielles,lois,financement,sécurité,sociale,issues,programmation,finances,publiques,portent,manière,équilibrée,susceptibles,connaître,dépassement,enveloppe,ville,regard,importance,respect,ondam,inscrit,nécessité,contraintes,partagées,ensemble,constituent,mécanisme,prudentiel,uniquement,mis,oeuvre,hospitaliers,mises,réserve,annulations,crédits,application,lois,financement,sécurité,sociale,octobre,cour,comptes,rappelé,difficulté,demandant,mise,contribution,ensemble,secteurs,offre,soins,assurer,respect,soins,ville,jour,exemptés,essentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,seconde,occurrence,médicaments,insérer,mots,prix,achat,constaté,supérieur,seuil,fixé,arrêté,ministres,chargés,santé,sécurité,sociale,article,initial,vise,instaurer,régulation,achats,gérés,établissements,santé,quantité,produits,concernés,extrêmement,importante,dispositif,justifie,produits,prix,achat,élevé,réel,impact,finances,hospitalières,proposé,fixer,seuil,prix,appliquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,supprimer,alinéas,médicaments,inscrits,liste,prévue,article,code,santé,publique,médicaments,utilisés,exclusivement,établissements,santé,collectivités,conditions,achats,définies,règles,commande,publique,établissements,publics,code,commerce,établissements,privés,contrôle,dépenses,associées,produits,jour,assuré,concurrence,cadre,marchés,publics,contrôle,dépenses,hôpitaux,mesures,optimisation,fixation,unilatérale,prix,maximal,vente,établissements,produits,proposé,gouvernement,fixation,prix,produits,remboursables,reposent,définitions,marchés,publics,négociations,conventionnelles,ajouteraient,protection,financière,assurance,maladie,portent,risque,limiter,accès,produits,particulier,cas,prix,fixé,incompatible,problématiques,industrielles,assimilation,caractère,coûteux,produit,prix,unitaire,volume,surcoût,justifié,ailleurs,devait,conservée,proposé,assurer,fixation,prix,cadre,demeure,domaine,conventionnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,ii,article,code,sécurité,sociale,inséré,rédigé,abattement,montant,égal,chiffre,affaires,taxes,réalisé,france,métropolitaine,départements,titre,médicaments,biologiques,similaires,définis,article,code,santé,publique,bénéficiant,autorisation,mise,marché,inscrits,liste,mentionnée,article,code,liste,mentionnée,article,code,santé,publique,ii,perte,recettes,état,compensée,due,concurrence,création,taxe,additionnelle,droits,mentionnés,articles,code,général,participent,titre,génériques,économies,potentielles,système,santé,industriels,mettent,œuvre,stratégies,promotion,bénéficient,jour,abattement,taxe,cohérence,stratégie,nationale,santé,soutient,développement,conviendrait,attribuer,industriels,commercialisant,produits,avantages,fiscaux,accordés,producteurs,proposé,insérer,prévoyant,abattement,existant,spécialités,génériques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,rédiger,référence,iii,remplacée,référence,conséquence,alinéas,conséquence,rédiger,ministre,chargé,sécurité,sociale,public,montants,indicatifs,prise,charge,assurance,maladie,aire,thérapeutique,laboratoires,titulaires,droits,exploitation,spécialité,pharmaceutique,prise,charge,titre,articles,indication,relève,dispositions,v,article,puissent,tirer,conséquences,comptables,supprime,fixation,décret,valeur,maximale,atu,nominatives,introduite,article,plfss,fixation,unilatérale,compensation,atu,prises,charge,subséquentes,ouvrant,dispositif,atu,médicaments,indications,multiples,lfss,profondément,complexifié,dispositif,accès,précoce,innovation,pourtant,envié,voisins,européens,temps,rendait,prise,charge,titre,atu,extensions,indications,article,imposait,compensation,unilatéralement,fixée,ministres,charge,santé,sécurité,sociale,recourir,politique,conventionnelle,pourtant,règle,fixation,prix,fixation,unilatérale,tarifs,atu,nominatives,prévue,article,plfss,constitue,poursuite,politique,risque,créer,désincitation,supplémentaire,mise,disposition,précoce,médicaments,innovants,ailleurs,montants,prévisionnels,prise,charge,assurance,maladie,transmis,fins,provisionnement,comptable,ministres,laboratoire,exploitant,médicament,atu,montants,moyens,aire,thérapeutique,montants,individuels,produit,maintenir,discussion,prix,individuels,produit,sphère,conventionnelle,respectant,objectif,gouvernement,permettre,entreprises,provisionner,montant,remise,proposé,texte,fixation,montant,indicatif,reviendrait,permettre,ceps,fixer,prix,unilatéral,remises,dissuader,entreprises,pharmaceutiques,recours,dispositif,atu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,article,code,travail,complété,phrases,rédigées,employeur,librement,choisir,prendre,charge,cas,échéant,coût,titres,abonnements,souscrits,salariés,cas,bénéficie,avantages,entourant,part,obligatoire,remboursement,fixée,voie,réglementaire,ii,perte,recettes,état,compensée,due,concurrence,création,taxe,additionnelle,droits,mentionnés,articles,code,général,perte,recettes,sécurité,sociale,compensée,due,concurrence,majoration,droits,mentionnés,articles,code,général,vise,permettre,employeurs,accorder,souhaitent,remboursement,complet,frais,transport,publics,prise,charge,obligatoire,employeur,titres,abonnement,égale,coût,conformément,article,code,travail,montant,mentionné,bulletin,paie,exonéré,impôt,revenu,considérés,avantages,nature,salarié,employeur,décide,prendre,permettra,employeur,aller,obligation,permettant,bénéficier,remboursement,facultatif,coût,titres,transports,salariés,avantages,octroient,remboursement,obligatoire,partie,dudit,mobilité,facteur,essentiel,vie,active,citoyens,incitant,employeur,participer,davantage,prise,charge,frais,transports,employés,enraciner,comportement,vertueux,environnement,valoriser,travail,payer,aller,travailler,donnant,salariés,droit,mobilité,facilitée,effort,encourage,travail,récompensé,valeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,article,code,sécurité,sociale,taux,remplacé,taux,perte,recettes,sécurité,sociale,compensée,due,concurrence,création,taxe,additionnelle,droits,visés,articles,code,général,entreprises,répartition,pharmaceutique,jouent,rôle,crucial,chaîne,médicament,assurant,approvisionnement,pharmacies,françaises,ensemble,territoire,missions,obligations,service,public,encadrées,agence,nationale,sécurité,médicament,ansm,disposer,stocks,médicaments,permettant,satisfaire,jours,consommation,habituelle,livrer,ensemble,pharmacies,officine,délai,charque,commande,disposer,médicaments,commercialisés,contexte,multiplication,tensions,approvisionnement,médicaments,répartiteurs,pharmaceutiques,cœur,diminution,impact,missions,confiées,état,acteurs,privés,rémunération,derniers,encadrée,arrêté,marge,ailleurs,activité,répartiteur,soumise,taxe,prélevée,agence,centrale,sécurité,sociale,acoss,titre,vente,gros,médicaments,assiette,contribution,composée,parts,correspond,taux,chiffre,affaires,taxe,réalisé,entreprise,cours,année,années,système,rémunération,inadapté,évolution,marché,viable,répartiteurs,pharmaceutiques,ailleurs,profession,taxation,spécifique,pénalise,fortement,marges,unitaires,faibles,ampute,capital,applique,chiffre,affaires,contribution,structuration,taux,devenue,totalement,obsolète,confiscatoire,représente,marge,réglementée,excédent,brut,exploitation,perte,nette,exploitation,millions,euros,millions,euros,projections,envisagent,perte,millions,euros,total,millions,euros,manque,gagner,état,absence,mesures,urgence,concrètes,qualité,approvisionnement,quotidien,français,médicaments,remise,risque,ministre,solidarités,santé,engagée,débats,plfss,travaux,autour,changement,modèle,aboutissent,cours,trimestre,discussions,entamées,ministère,procéder,nouveau,système,rémunération,moyen,terme,engagement,concrétisé,stade,travers,mesures,correspondant,besoins,essentiel,court,terme,prendre,mesures,année,éviter,effondrement,circuit,médicament,baisse,contribution,régler,crise,connait,représente,volet,défaut,traiter,fond,refonte,complète,assiette,contribution,prévoit,réduire,taux,dégager,millions,euros,répartition,représente,emplois,france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,article,code,sécurité,sociale,taux,remplacé,taux,perte,recettes,sécurité,sociale,compensée,due,concurrence,création,taxe,additionnelle,droits,visés,articles,code,général,entreprises,répartition,pharmaceutique,jouent,rôle,crucial,chaîne,médicament,assurant,approvisionnement,pharmacies,françaises,ensemble,territoire,missions,obligations,service,public,encadrées,agence,nationale,sécurité,médicament,ansm,disposer,stocks,médicaments,permettant,satisfaire,jours,consommation,habituelle,livrer,ensemble,pharmacies,officine,délai,charque,commande,disposer,médicaments,commercialisés,contexte,multiplication,tensions,approvisionnement,médicaments,répartiteurs,pharmaceutiques,cœur,diminution,impact,missions,confiées,etat,acteurs,privés,rémunération,derniers,encadrée,arrêté,marge,ailleurs,activité,répartiteur,soumise,taxe,prélevée,agence,centrale,sécurité,sociale,acoss,titre,vente,gros,médicaments,assiette,contribution,composée,parts,correspond,taux,chiffre,affaires,taxe,réalisé,entreprise,cours,année,années,système,rémunération,inadapté,évolution,marché,viable,répartiteurs,pharmaceutiques,ailleurs,profession,taxation,spécifique,pénalise,fortement,marges,unitaires,faibles,ampute,capital,applique,chiffre,affaires,contribution,structuration,taux,devenue,totalement,obsolète,confiscatoire,représente,marge,réglementée,excédent,brut,exploitation,perte,nette,exploitation,millions,euros,millions,euros,projections,envisagent,perte,millions,euros,total,millions,euros,manque,gagner,état,absence,mesures,urgence,concrètes,qualité,approvisionnement,quotidien,français,médicaments,remise,risque,ministre,solidarités,santé,engagée,débats,plfss,travaux,autour,changement,modèle,aboutissent,cours,trimestre,discussions,entamées,ministère,procéder,nouveau,système,rémunération,moyen,terme,engagement,concrétisé,stade,travers,mesures,correspondant,besoins,essentiel,court,terme,prendre,mesures,année,éviter,effondrement,circuit,médicament,baisse,contribution,régler,crise,connait,représente,volet,défaut,traiter,fond,refonte,complète,assiette,contribution,repli,prévoit,réduire,taux,dégager,millions,euros,répartition,représente,emplois,france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,article,code,sécurité,sociale,complétée,mots,fédérations,nationales,représentatives,établissements,services,sanitaires,publics,privés,accompagner,logique,parcours,décloisonnement,attractivité,médicale,établissements,santé,présente,proposition,modification,législative,vise,soumettre,avis,préalable,fédérations,hospitalières,publiques,privées,mesures,conventionnelles,répercussions,significatives,pilotage,gestion,établissements,santé,cadre,concertations,précédant,mécanisme,approbation,tacite,opposition,expresse,ministre,chargé,sécurité,août,confie,représentants,médecins,libéraux,uncam,soin,hiérarchiser,fixer,tarifs,actes,médicaux,fédérations,hospitalières,consultées,informées,discussions,engagées,cadre,concernées,résultats,négociations,impact,construction,pmsi,valorisation,cadre,tarification,activité,repose,classification,commune,actes,médicaux,ccam,ailleurs,organisation,soins,proximité,montée,charge,cpts,développement,hôpitaux,proximité,rendent,importante,création,espace,dialogue,commun,autour,objectifs,partagés,amélioration,service,rendu,valorisation,actes,médicaux,conséquences,directes,choix,exercice,médecins,secteurs,contexte,fédérations,hospitalières,puissent,concertées,amont,élaboration,conventions,annexes,avenants,conclus,uncam,professionnels,santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,insérer,bis,prestations,visées,article,code,article,conduit,millions,euros,supplémentaires,retirés,familles,nouvelle,prestations,familiales,prestations,familiales,devrait,conduire,économie,millions,euros,dépens,effets,familles,modestes,épargnées,contexte,ensemble,prestations,familiales,prime,naissance,allocations,familiales,ars,complément,condition,ressources,vient,ajouter,familles,désindexation,apl,prévue,plf,charges,logement,poste,dépenses,familles,familles,enfants,touchées,familles,monoparentales,pourtant,citées,prioritaires,plfss,subissent,plein,fouet,prestations,ensemble,raisons,image,envisagé,retraites,inférieures,revaloriser,montant,prestations,familiales,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,supprimer,alinéas,article,prévu,réduction,ij,parents,familles,partir,jour,maladie,parent,famille,nombreuse,bénéficie,ij,taux,majoré,agit,article,réduire,ij,taux,risque,important,porter,atteinte,droits,parents,malades,longue,durée,mois,enfants,récents,entreprise,bien,salariés,entreprise,offrant,droits,maintien,entreprises,devoir,compenser,supporteront,charge,nouvelle,compenseront,familles,déjà,très,fragilisées,subir,pertes,indemnisation,impact,familles,entreprises,plan,principes,agit,recul,solidarité,nationale,vie,quotidienne,familles,maladie,parents,familles,sein,temps,partiels,fréquents,fragilise,davantage,foyers,enfants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,supprimer,article,vise,conduire,professionnels,structures,accueil,petite,enfance,déclarer,site,dédié,disponibilités,accueil,mieux,utiliser,capacités,accueil,favoriser,réponse,besoins,accueil,ponctuels,parents,ensemble,informations,centralisées,site,information,déployé,cnaf,faits,article,revient,subordonner,agrément,assistantes,maternelles,publicité,coordonnées,site,manquement,assistantes,obligation,pouvant,conduire,retrait,agrément,article,adopté,pourraient,faits,traduire,retraits,agréments,vise,supprimer,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,supprimer,alinéas,soumettre,établissements,services,accueillant,enfants,activité,déterminée,décret,communication,voie,électronique,disponibilités,accueil,caisse,nationale,allocations,familiales,caisse,centrale,mutualité,sociale,agricole,périodicité,modalité,transmission,fixées,arrêté,ministre,chargé,sécurité,sociale,solution,efficace,meilleure,information,public,places,crèches,proposition,faisait,ailleurs,parti,propositions,mission,politique,familiale,coprésidée,monsieur,guillaume,chiche,auteur,mission,avorté,raisons,proposition,efficace,gouvernement,engage,véritable,politique,création,places,crèches,loin,cas,contre,soumettre,assistantes,maternelles,obligation,menace,retirer,agrément,paraît,inapproprié,agit,agents,exercent,profession,manière,indépendante,possibilité,devrait,faculté,retirer,assistantes,maternelles,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,améliorer,prise,charge,pied,diabétique,patients,atteints,diabète,prise,charge,assurance,maladie,obligatoire,prestations,mentionnées,articles,donne,lieu,dérogation,articles,rémunération,cahier,charges,indiquant,conditions,éligibilité,établissements,équipes,déterminé,régime,général,personnes,atteintes,diabète,subissent,année,amputation,membre,inférieur,savoir,orteil,pied,jambe,cuisse,personnes,hospitalisées,plaie,pied,qualité,vie,patient,diabétique,largement,détériorée,pratique,activité,physique,partie,intégrante,traitement,diabète,titre,alimentation,traitements,médicamenteux,devient,difficile,cercle,vicieux,pratique,régulière,diabète,stable,complications,développent,détériorant,qualité,vie,déjà,dégradée,coûts,supplémentaires,évitables,viennent,alourdir,dépenses,assurance,maladie,complications,représentent,véritable,coût,assurance,maladie,dépenses,moyennes,patient,diabétique,élèvent,euros,patient,pris,charge,amputation,élèvent,euros,patients,diabétiques,représentent,dépenses,totales,trouver,prise,charge,adaptée,nécessité,patient,qualité,vie,efficience,système,soins,pied,diabétique,amputation,hospitalisation,plaie,estimé,millions,euros,millions,attribuables,patients,amputés,liés,patients,hospitalisés,soins,aigus,plaie,pied,établissements,déjà,spécialisés,prise,charge,pied,diabétique,existe,cahier,charges,permette,labelliser,certifier,établissements,équipes,vise,créer,mode,financement,dédié,forfait,prise,charge,complications,équipes,éligibles,déterminées,cahier,charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
