"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
médecin,zone,santé,territorial,sécurité,faire,général,année,2
égalité,salarial,social,pourcent,prévoir,année,mettre,condition,2
médical,certificat,sportif,an,sécurité,pouvoir,vise,permettre,2
médicament,pourcent,sécurité,taux,santé,devoir,public,droit,2
agriculteur,social,agricole,état,sécurité,permettre,faire,supprimer,2
médicament,présomption,efficacité,sécurité,pouvoir,pourcent,nouveau,cadre,2
santé,activité,taxe,régime,devoir,charge,financement,général,2
régional,santé,projet,offre,vise,faire,insérer,prévoir,2
région,psychiatre,objectif,département,faire,insérer,charge,compléter,2
région,arrêté,santé,substituer,social,sécurité,degré,soin,2
occurrence,santé,supprimer,fin,santé,supprimer,national,fin,2
offre,médical,accès,territoire,sécurité,faire,public,prévoir,2
ondam,montant,pourcent,hospitalier,financement,maladie,national,nouveau,2
régime,réserve,prévoyance,sncf,social,sécurité,supprimer,maladie,2
aeeh,famille,allocation,prestation,proposer,titre,disposition,acteur,2
ondam,supprimer,travaille,décidément,supprimer,national,nouveau,dernier,2
opticien,ophtalmologiste,pouvoir,télémédecine,social,sécurité,public,prévoir,2
organisation,prévoit,dotation,associer,pouvoir,devoir,supprimer,national,2
organisme,assurance,pourcent,mutuelle,social,sécurité,prévoir,compléter,2
organisme,complémentaire,assurance,maladie,rédiger,pourcent,national,assurer,2
établissement,incidence,réforme,ticket,pouvoir,permettre,supprimer,nouveau,2
aeeh,branche,association,handicap,vise,nouveau,concerner,nécessaire,2
organisme,régir,assurance,contribution,santé,compléter,pourcent,mettre,2
orientation,santé,sécurité,social,pouvoir,permettre,faire,insérer,2
ostéoporose,dépistage,an,pourcent,social,sécurité,pouvoir,devoir,2
adulte,établissement,enfant,adolescent,vise,public,charge,national,2
référence,vise,bénéficiaire,aah,santé,national,disposition,substituer,2
établissement,meilleur,dotation,santé,social,sécurité,vise,rédiger,2
régional,santé,schéma,orientation,vise,faire,prévoir,charge,2
régional,santé,schéma,projet,vise,faire,prévoir,charge,2
rémunération,maison,naissance,condition,santé,devoir,vise,public,2
naissance,prime,degré,verser,social,sécurité,devoir,vise,2
médicament,public,tension,approvisionnement,santé,permettre,faire,dispositif,2
médicament,pénurie,nombre,connaître,social,sécurité,devoir,vise,2
sanitaire,groupement,coopération,dette,social,pouvoir,santé,insérer,2
médicament,santé,public,sécurité,social,permettre,rédiger,financement,2
sanction,travail,dissimulé,supprimer,social,vise,supprimer,cas,2
sanction,travail,dissimulé,disposition,social,permettre,substituer,cotisation,2
médicament,éventuel,comparateur,cliniquement,devoir,permettre,faire,supprimer,2
métier,travail,autonomie,amélioration,social,sécurité,insérer,degré,2
naissance,mois,prime,grossesse,social,sécurité,vise,insérer,2
salarié,entreprise,employeur,prime,sécurité,vise,insérer,prévoir,2
rémunération,pourcent,csg,rédiger,social,pouvoir,vise,rédiger,2
national,critère,financement,psychiatrie,permettre,public,rédiger,conséquence,2
saisie,conservatoire,insérer,bis,social,sécurité,devoir,vise,2
nombre,effort,hôpital,santé,social,sécurité,prévoir,financement,2
rôle,mission,maison,départemental,social,compléter,contribution,politique,2
agricole,année,dispositif,suppression,devoir,permettre,compléter,organisme,2
répartition,médicament,million,taux,droit,maladie,état,général,2
nombre,urgence,ligne,colonne,vise,public,nouveau,objectif,2
réparation,indemnisation,intégral,préjudice,insérer,charge,dispositif,droit,2
rémunération,supprimer,suppression,étendre,supprimer,dispositif,droit,suppression,2
soin,autonomie,acte,réadaptation,santé,devoir,vise,faire,2
social,csg,revenu,augmenter,pouvoir,degré,maladie,proposer,2
degré,prévoir,décret,condition,social,sécurité,santé,public,2
système,mode,financement,établissement,santé,devoir,permettre,faire,2
sécurité,pourcent,médicament,social,devoir,permettre,faire,public,2
cannabis,médical,usage,expérimentation,sécurité,devoir,maladie,état,2
transport,social,sanitaire,sécurité,faire,prévoir,financement,pourcent,2
transport,soin,bariatrique,sanitaire,social,sécurité,pouvoir,devoir,2
dispositif,sécurité,pouvoir,risque,social,vise,permettre,faire,2
dispositif,sécurité,social,suppression,devoir,vise,rédiger,charge,2
corse,constitution,insérer,collectivité,santé,faire,public,insérer,2
disposition,hôpital,ambulatoire,supprimer,santé,permettre,faire,supprimer,2
coordonner,rédiger,fin,mentionnée,social,santé,public,rédiger,2
coordination,santé,ambulatoire,organisation,devoir,vise,compléter,établissement,2
disposition,national,supprimer,surcotisation,pouvoir,vise,compléter,conséquence,2
titre,allocation,rentrée,scolaire,social,sécurité,vise,faire,2
coordination,besoin,soin,dispositif,pouvoir,insérer,charge,établissement,2
disposition,pouvoir,dispositif,charge,social,sécurité,santé,vise,2
coordination,ambulatoire,modalité,organisation,vise,rédiger,charge,prise,2
cotisation,contribution,social,devoir,sécurité,charge,général,perte,2
suspendre,insérer,moment,agir,pouvoir,santé,insérer,nécessaire,2
ssiad,infirmier,acte,indu,vise,insérer,rédiger,dispositif,2
supprimer,éviter,bord,vise,pouvoir,vise,proposer,objectif,2
supprimer,vise,modifier,période,pouvoir,vise,condition,modifier,2
supprimer,vise,pose,difficulté,vise,difficulté,supprimer,technique,2
coût,social,remettre,indirect,pouvoir,devoir,vise,public,2
traitement,complémentaire,médecine,soin,sécurité,devoir,permettre,charge,2
supprimer,vise,remettre,cause,vise,maladie,assurance,activité,2
but,lucratif,structure,supprimer,vise,cotisation,exonération,aide,2
supprimer,vise,supprime,taxe,vise,soin,accès,raison,2
dispositif,médical,dépense,prescription,social,sécurité,faire,financement,2
cotisation,spécifique,acquisition,titre,sécurité,devoir,permettre,compléter,2
dispositif,médical,handicap,état,pouvoir,faire,maladie,substituer,2
supprimer,vise,étendre,professionnel,santé,vise,mettre,professionnel,2
dispositif,médical,permanent,consigne,devoir,insérer,état,assurer,2
dispositif,médical,substituer,conséquence,social,faire,compléter,général,2
dispositif,prise,charge,cas,social,sécurité,pouvoir,santé,2
supprimer,voter,incohérent,finance,national,finance,assemblée,supprimer,2
substituer,pouvoir,devoir,vise,pouvoir,devoir,vise,prévoir,2
dividende,autonomie,actionnaire,handicap,pouvoir,compléter,national,taux,2
dividende,autonomie,actionnaire,handicap,social,pouvoir,national,dernier,2
convention,actuel,supprimer,médical,vise,permettre,an,cadre,2
tiers,payer,assurance,maladie,sécurité,droit,pourcent,condition,2
cas,substituer,santé,public,santé,public,national,substituer,2
substituer,compléter,degré,b,compléter,degré,national,substituer,2
sécurité,social,taux,pourcent,devoir,droit,général,organisme,2
contentieux,numéro,rétablir,sécurité,vise,charge,degré,général,2
droit,distributeur,détail,produit,social,sécurité,vise,faire,2
droit,social,organisme,prestation,devoir,vise,supprimer,public,2
central,insérer,organisme,sécurité,social,sécurité,insérer,organisme,2
sécurité,stock,mois,substituer,pouvoir,prévoir,dispositif,proposer,2
test,social,sécurité,dépistage,faire,rédiger,charge,compléter,2
consultation,patient,prévention,coordination,vise,prévoir,financement,dispositif,2
test,détail,stratégie,national,devoir,public,maladie,soin,2
stock,produit,obligation,france,sécurité,santé,vise,mettre,2
confiance,pouvoir,cas,recommandation,permettre,faire,degré,pourcent,2
stock,médicament,santé,public,pouvoir,santé,vise,public,2
droit,allocation,servir,assurer,social,sécurité,vise,rédiger,2
tiers,payer,assurance,maladie,sécurité,droit,pourcent,national,2
branche,autonomie,financement,contribution,social,sécurité,pouvoir,vise,2
dotation,degré,contrat,établissement,rédiger,prévoir,état,général,2
substituer,organisme,prestataire,définir,degré,organisme,substituer,entreprise,2
substituer,occurrence,agir,ici,pouvoir,vise,droit,prendre,2
supprimer,produit,introduire,sénat,ensemble,entreprise,contribution,élevé,2
substituer,maximal,durée,isolement,prévoir,état,conséquence,patient,2
substituer,maximal,conséquence,durée,prévoir,état,dernier,patient,2
contribution,solidarité,actionnaire,pourcent,social,vise,supprimer,rédiger,2
carte,vital,biométrique,donnée,pouvoir,vise,permettre,prévoir,2
travail,agricole,permettre,infirmier,social,pouvoir,supprimer,prévoir,2
contribution,exceptionnel,bénéfice,crise,sécurité,devoir,vise,charge,2
sécurité,social,financement,crise,devoir,faire,rédiger,degré,2
sécurité,social,financer,financement,devoir,faire,prévoir,état,2
contribution,autonomie,succession,donation,permettre,faire,insérer,droit,2
substituer,entrée,vigueur,publication,substituer,vigueur,publication,entrée,2
substituer,durée,isolement,heure,prévoir,état,conséquence,patient,2
supprimer,vise,introduit,sénat,vise,mission,sénat,liste,2
supprimer,vise,introduit,sénat,social,sécurité,vise,prévoir,2
direction,médical,sage,femme,compléter,assurer,précise,naissance,2
supprimer,suppression,rédiger,concertation,vise,permettre,supprimer,rédiger,2
degré,participation,pouvoir,cas,sécurité,santé,vise,supprimer,2
supprimer,introduire,sénat,applique,social,sécurité,faire,pourcent,2
degré,pouvoir,cas,rédiger,supprimer,rédiger,prévoir,national,2
supprimer,second,rédaction,assemblée,supprimer,national,second,rédaction,2
supprimer,introduire,appel,disposition,disposition,déjà,introduire,supprimer,2
supprimer,social,groupe,socialiste,faire,public,état,cotisation,2
supprimer,social,vise,étendre,sécurité,vise,public,établissement,2
supprimer,expérimentation,viser,faire,santé,faire,charge,établissement,2
supprimer,ensemble,retraité,devoir,devoir,supprimer,ensemble,partie,2
supprimer,suppression,contraindre,directeur,supprimer,cas,concerner,suppression,2
supprimer,département,rural,insulaire,supprimer,national,déjà,rédaction,2
supprimer,suppression,entraîne,trop,supprimer,cas,montant,nécessaire,2
bénéficiaire,succession,social,âgé,pouvoir,devoir,vise,faire,2
transfert,maison,naissance,établissement,pouvoir,faire,public,rédiger,2
supprimer,division,intituler,chapitre,supprimer,conséquence,suppression,bis,2
supprimer,introduire,sénat,créer,dispositif,médical,médicament,créer,2
supprimer,introduire,sénat,impose,entreprise,mois,médicament,majeur,2
supprimer,introduire,sénat,permettre,permettre,question,sénat,introduire,2
supprimer,répertoire,national,vise,social,vise,bénéficiaire,additionnel,2
supprimer,pouvoir,comprendre,obtention,pouvoir,supprimer,médical,pratique,2
supprimer,porter,fraude,social,social,devoir,faire,dispositif,2
supprimer,porte,disposition,incohérent,disposition,adopter,supprimer,porte,2
transparence,devoir,licence,office,pouvoir,permettre,faire,public,2
supprimer,pension,retraite,réparer,social,sécurité,pouvoir,insérer,2
supprimer,pension,retraite,référence,pouvoir,faire,proposer,conséquence,2
supprimer,objectif,déjà,satisfait,objectif,déjà,supprimer,satisfait,2
degré,bière,pourcent,vol,vise,rédiger,prévoir,droit,2
supprimer,santé,hôpital,libéral,public,état,national,objectif,2
degré,charge,participation,passage,pouvoir,santé,devoir,vise,2
supprimer,santé,modifier,mauver,charge,pourcent,cadre,prise,2
supprimer,notion,prescription,compassionnel,supprimer,convier,rédaction,question,2
supprimer,moment,rédaction,issu,supprimer,national,rédaction,assemblée,2
supprimer,mode,accueil,parer,devoir,année,conséquence,objectif,2
supprimer,disposition,manquer,clarté,social,disposition,impact,finance,2
supprimer,dernier,rédaction,assemblée,supprimer,national,dernier,prendre,2
traitement,confinement,pharmacien,dispensation,sécurité,santé,permettre,public,2
bénéficiaire,social,succession,âgé,pouvoir,devoir,vise,faire,2
supprimer,cep,introduire,sénat,dispositif,prendre,médical,politique,2
dette,présenter,nouveau,déficit,sécurité,devoir,permettre,faire,2
supprimer,bis,référence,degré,social,faire,degré,état,2
supprimer,attribue,nombre,prérogative,pouvoir,faire,supprimer,sanitaire,2
bénéficiaire,allocation,démarche,informer,social,sécurité,santé,insérer,2
transport,maritime,charge,français,social,sécurité,permettre,insérer,2
devoir,internet,déclarer,revenu,pouvoir,faire,compléter,assurance,2
supprimer,aller,budget,autonomie,vise,financement,dispositif,degré,2
devoir,sécurité,social,association,pouvoir,vise,faire,insérer,2
supprimer,ajout,sénat,état,état,activité,médicament,lieu,2
supprimer,affaiblir,rôle,pivot,soin,médecin,sein,parcours,2
supprimer,actualisation,liste,sus,devoir,dispositif,établissement,prendre,2
supprimer,vise,créer,exonération,vise,prévoir,nouveau,ensemble,2
supprimer,vise,disposition,introduire,vise,disposition,sénat,trop,2
supprimer,vise,entraîne,cumul,vise,public,dispositif,bénéficier,2
supprimer,cep,introduire,sénat,prendre,médicament,politique,prix,2
supprimer,vise,créer,exonération,vise,dispositif,déjà,exonération,2
demande,délai,fonds,mois,devoir,vise,supprimer,insérer,2
supprimer,vise,additionnel,introduire,vise,dispositif,mise,place,2
supprimer,supprime,additionnel,introduire,social,supprimer,proposer,montant,2
supprimer,taxer,premix,vouloir,vise,faire,disposition,base,2
supprimer,conséquence,vise,disposition,vise,conséquence,disposition,cas,2
degré,social,aidant,emploi,permettre,faire,insérer,dispositif,2
degré,social,professionnel,santé,sécurité,insérer,rédiger,prévoir,2
supprimer,vise,abaisse,charge,vise,charge,prendre,modalité,2
trajectoire,présente,sécurité,social,supprimer,année,national,recette,2
degré,vaccination,grippe,public,devoir,vise,insérer,rédiger,2
supprimer,vise,additionnel,introduire,vise,proposer,disposition,cotisation,2
supprimer,vise,créer,exonération,pouvoir,vise,prévoir,charge,2
supprimer,compensation,incohérent,voter,pouvoir,application,finance,donner,2
supprimer,comité,économique,hospitalisation,santé,public,mettre,professionnel,2
supprimer,cohérence,demande,suppression,supprimer,suppression,demande,cohérence,2
supprimer,coefficient,géographique,existe,objectif,viser,déjà,répondre,2
sénat,conférence,financeur,paramétrique,social,sécurité,supprimer,financement,2
tiers,payer,santé,complémentaire,sécurité,vise,faire,insérer,2
travail,employeur,agricole,entreprise,sécurité,vise,insérer,charge,2
départemental,autonomie,supprimer,dernier,supprimer,dernier,cadre,conseil,2
dépense,supprimer,annonce,relatif,social,sécurité,santé,supprimer,2
dépense,soin,ville,objectif,social,sécurité,pouvoir,permettre,2
dépense,soin,ville,objectif,pouvoir,vise,permettre,supprimer,2
taux,pourcent,social,exonération,sécurité,devoir,vise,prévoir,2
territoire,devoir,prise,charge,santé,permettre,dispositif,nouveau,2
taux,pourcent,rédiger,taxe,vise,financement,assurer,compter,2
dépense,soin,ville,mécanisme,pouvoir,vise,permettre,faire,2
sportif,consultation,pratique,médical,pouvoir,dispositif,proposer,an,2
dépense,prise,charge,médicament,devoir,vise,rédiger,compléter,2
complémentaire,droit,bénéficiaire,aah,social,sécurité,permettre,faire,2
taux,pourcent,csg,sécurité,devoir,vise,degré,droit,2
complémentaire,gestion,salarié,entreprise,social,vise,compléter,droit,2
complémentaire,pourcent,supprimer,santé,santé,supprimer,maladie,nouveau,2
ssiad,acte,indu,auprès,insérer,rédiger,soin,conséquence,2
dématérialiser,public,accès,service,social,pouvoir,vise,supprimer,2
taux,pourcent,contribution,urp,social,sécurité,public,financement,2
dématérialisation,prescription,relatif,soin,social,prévoir,charge,maladie,2
dématérialisation,fraude,prescription,relatif,social,pouvoir,santé,permettre,2
complémentaire,supprimer,nature,rédactionnel,pouvoir,vise,faire,supprimer,2
complémentaire,taux,pourcent,entreprise,pouvoir,faire,général,assurance,2
délai,rédiger,fin,jour,rédiger,national,nouveau,cas,2
taux,pourcent,assurance,but,devoir,faire,conséquence,médical,2
délai,indemnisation,mois,compter,vise,état,substituer,décret,2
délai,fonds,droit,somme,pouvoir,santé,supprimer,prévoir,2
taux,pharmaceutique,médicament,sécurité,pouvoir,permettre,public,droit,2
définition,tableau,fonds,pesticide,pouvoir,prévoir,compléter,prendre,2
dépense,établissement,augmentation,ondam,permettre,supprimer,degré,prendre,2
taux,pourcent,sécurité,social,permettre,public,dispositif,degré,2
soutien,part,apporter,handicaper,devoir,insérer,financement,général,2
développement,public,contribution,recherche,social,sécurité,permettre,insérer,2
charge,prise,dispositif,utiliser,pouvoir,devoir,faire,supprimer,2
travail,santé,expérimentation,public,pouvoir,permettre,faire,maladie,2
soin,hospitalier,déterminer,montant,devoir,vise,insérer,conséquence,2
enfant,social,allocation,aide,sécurité,pouvoir,vise,supprimer,2
choix,dispositif,médical,assurer,faire,degré,droit,substituer,2
territoire,aide,installer,cas,social,vise,insérer,charge,2
taxe,prémi,vin,aromatiser,social,vise,permettre,faire,2
chronique,infirmier,expérimentation,patient,devoir,public,prévoir,financement,2
cice,an,emploi,cotisation,social,sécurité,devoir,charge,2
enfant,pesticide,cancer,congénital,social,sécurité,charge,dispositif,2
cice,an,emploi,cotisation,sécurité,charge,financement,pourcent,2
charge,patient,consigne,cas,social,sécurité,vise,prévoir,2
enfant,allocation,famille,versement,pouvoir,vise,supprimer,charge,2
enfant,allocation,autonomie,aeeh,sécurité,devoir,vise,permettre,2
soin,politique,cohérence,prévention,social,santé,devoir,public,2
taux,pourcent,vente,marge,vise,insérer,charge,dispositif,2
enfant,aeeh,pouvoir,partager,devoir,faire,supprimer,charge,2
employeur,salarié,travail,charge,social,sécurité,vise,rédiger,2
employeur,salarié,travail,charge,social,sécurité,pouvoir,vise,2
employeur,décret,jour,modalité,social,sécurité,pouvoir,vise,2
travail,pathologie,psychique,lier,social,sécurité,compléter,assurance,2
ehpad,lucratif,nombre,public,faire,année,conséquence,an,2
taux,pourcent,sécurité,social,santé,devoir,droit,général,2
ehpad,lucratif,montant,public,faire,année,an,titre,2
développement,public,santé,médicament,insérer,rédiger,compléter,état,2
définition,tableau,fonds,pesticide,pouvoir,insérer,prévoir,prendre,2
supprimer,procédure,forfait,technique,pouvoir,vise,permettre,droit,2
compléter,vii,part,septembre,sécurité,devoir,vise,permettre,2
territoire,santé,fonds,rappeler,devoir,insérer,rédiger,état,2
taux,année,pourcent,contribution,social,devoir,faire,général,2
ssiad,indu,infirmier,acte,social,pouvoir,insérer,rédiger,2
compter,janvier,assurance,maladie,faire,public,insérer,rédiger,2
tard,mars,année,prendre,social,vise,permettre,insérer,2
compléter,tard,mois,promulgation,social,permettre,charge,compléter,2
certificat,aptitude,sportif,médical,vise,supprimer,proposer,établissement,2
retraite,âge,légal,départ,sécurité,financement,cotisation,fin,1
psychiatrique,commission,départemental,soin,devoir,supprimer,dernier,prendre,1
salarié,employeur,accouchement,conséquence,social,devoir,vise,rédiger,1
salarier,insérer,profession,rédactionnel,insérer,profession,rédactionnel,salarier,1
salaire,amélioration,aide,département,devoir,rédiger,financement,dispositif,1
saisonnier,dispositif,travailleur,charge,rédiger,financement,degré,droit,1
qualité,équité,insérer,débat,social,vise,permettre,insérer,1
salarié,employeur,naissance,enfant,social,devoir,vise,rédiger,1
sage,femme,insérer,conventionnée,insérer,proposer,assurer,niveau,1
thérapeutique,médicament,intérêt,majeur,social,pouvoir,faire,public,1
sage,femme,devoir,santé,charge,disposition,cas,place,1
taux,pourcent,taxe,fixer,vise,rédiger,financement,assurer,1
psychiatrique,commission,départemental,soin,supprimer,dernier,prendre,sanitaire,1
psychiatrique,enfant,disparité,observer,social,sécurité,faire,financement,1
psychologue,montant,revalorisation,carrière,pouvoir,devoir,permettre,général,1
salarié,employeur,jour,naissance,devoir,vise,rédiger,charge,1
salarié,entreprise,prime,exceptionnel,social,sécurité,vise,insérer,1
reprise,dette,investissement,territorial,vise,compléter,national,proposer,1
salarié,prime,social,entreprise,sécurité,permettre,insérer,pourcent,1
supprimer,suppression,vise,exonérer,vise,supprimer,impôt,france,1
établissement,dette,hospitalier,redistribution,social,sécurité,financement,année,1
taux,revalorisation,supprimer,pension,social,vise,prévoir,cas,1
psychiatrie,an,budget,financement,social,sécurité,santé,devoir,1
relève,rédiger,fin,prestation,devoir,rédiger,montant,fin,1
psychiatrie,maladie,patient,défendre,permettre,droit,état,pourcent,1
sanction,travail,dissimulé,disposition,social,permettre,rédiger,cotisation,1
supprimer,usage,prise,charge,faire,état,conséquence,cas,1
reprise,hôpital,dette,investissement,pouvoir,proposer,an,cadre,1
salarié,part,interdiction,emploi,vise,prévoir,droit,proposer,1
salarié,part,interdiction,emploi,vise,insérer,prévoir,droit,1
salarié,mise,place,accord,sécurité,vise,insérer,prévoir,1
psychiatrie,patient,défendre,moyen,permettre,droit,état,pourcent,1
établissement,domicile,qualité,autodialyse,social,santé,permettre,insérer,1
remise,minorer,dispositif,entreprise,devoir,vise,supprimer,rédiger,1
taux,pourcent,taxe,répartiteur,santé,devoir,vise,permettre,1
psychologue,psychologique,soin,sanitaire,permettre,public,financement,maladie,1
saad,attribution,enveloppe,million,vise,faire,prévoir,charge,1
psychologue,remboursement,psychothérapie,concerne,vise,public,rédiger,prévoir,1
réserve,caisse,assurance,maladie,social,devoir,supprimer,droit,1
établissement,santé,public,meilleur,social,sécurité,pouvoir,permettre,1
taux,contribution,fixer,décret,pouvoir,santé,rédiger,prévoir,1
répondre,cotisant,convier,cas,insérer,rédiger,droit,général,1
respectivement,droit,voir,proposer,substituer,rédactionnel,droit,proposer,1
établissement,dépense,assurance,maladie,public,rédiger,charge,financement,1
réparation,intégral,victime,fonds,vise,permettre,compléter,maladie,1
public,industriel,commercial,travail,devoir,vise,insérer,général,1
établissement,exposé,motif,projet,vise,supprimer,charge,dispositif,1
qualité,soignant,faire,supprimer,pouvoir,devoir,conséquence,titre,1
taux,pourcent,sécurité,social,permettre,faire,public,dispositif,1
public,inscrire,produit,médicament,social,permettre,supprimer,dispositif,1
rémunération,degré,e,fraction,social,sécurité,rédiger,dispositif,1
taux,pourcent,substituer,rétablissement,année,organisme,substituer,fin,1
taux,pourcent,substituer,fin,social,prendre,objectif,relatif,1
taux,degré,cotisation,effectif,pouvoir,devoir,vise,prévoir,1
public,industriel,commercial,groupement,devoir,vise,insérer,état,1
thérapeutique,médicament,intérêt,majeur,social,pouvoir,faire,supprimer,1
saad,expérimentation,service,million,pouvoir,devoir,supprimer,prévoir,1
réserve,rédiger,fin,cas,rédiger,état,cas,décret,1
prévoir,tiers,payer,bénéfice,vise,rédiger,pourcent,soin,1
rôle,mission,maison,départemental,social,compléter,contribution,raison,1
psychothérapie,dépression,remboursement,concerne,social,sécurité,santé,dispositif,1
public,cotisation,agent,fonction,social,pouvoir,supprimer,insérer,1
traitement,médicament,patient,prescription,sécurité,santé,devoir,supprimer,1
résident,soigner,ratio,soin,santé,état,année,national,1
étude,cause,famille,enfant,permettre,financement,compléter,état,1
résident,soigner,ratio,soin,santé,compléter,état,national,1
résident,ratio,soigner,soin,santé,compléter,état,national,1
taux,pourcent,sécurité,social,pouvoir,santé,devoir,vise,1
résidence,cas,obligation,familial,sécurité,rédiger,compléter,maladie,1
réserve,régime,matière,supprimer,social,devoir,faire,supprimer,1
étranger,social,accès,photographie,sécurité,vise,permettre,insérer,1
représentant,prise,charge,équipe,devoir,faire,public,rédiger,1
public,fonction,agent,salarial,santé,devoir,insérer,proposer,1
établissement,coefficient,transition,santé,devoir,permettre,public,rédiger,1
prévoir,disposition,appliquer,compter,vise,condition,substituer,décret,1
établissement,service,fédération,représentatif,vise,public,charge,compléter,1
public,médicament,prix,santé,social,sécurité,vise,permettre,1
santé,consultation,sexuel,expérimentation,pouvoir,prévoir,financement,soin,1
santé,consultation,sexuel,an,sécurité,pouvoir,permettre,public,1
protection,social,organisme,titre,maladie,condition,disposition,concerner,1
transmanche,crise,activité,service,pouvoir,vise,prévoir,année,1
établissement,zone,public,femme,pouvoir,devoir,faire,insérer,1
santé,complémentaire,permettre,assurance,social,sécurité,supprimer,public,1
proximité,insérer,immédiat,pourcent,insérer,pourcent,justifier,texte,1
technologie,aide,assistance,médical,permettre,maladie,soin,nouveau,1
santé,complémentaire,droit,protection,social,sécurité,permettre,public,1
établissement,soin,santé,priver,pouvoir,permettre,public,rédiger,1
établissement,agent,décret,septembre,santé,prévoir,compléter,soin,1
santé,centre,professionnel,développement,dispositif,national,nouveau,activité,1
taxe,recouvrement,anse,agent,social,pouvoir,public,rédiger,1
supprimer,second,devoir,profession,santé,public,proposer,définir,1
questionnaire,mineur,attestation,rédiger,conséquence,santé,rédactionnel,rédiger,1
taxe,professionnel,santé,sécurité,vise,financement,droit,pourcent,1
présence,parental,agent,public,public,national,nouveau,activité,1
établir,département,second,substituer,substituer,second,rédactionnel,précision,1
santé,date,libéral,ségur,social,sécurité,pouvoir,permettre,1
protection,maternel,infantile,substituer,substituer,rédactionnel,protection,départementau,1
proposer,ondam,comité,procédure,faire,public,compléter,pourcent,1
supprimer,prévoir,pension,retraite,pouvoir,prévoir,taux,prestation,1
transmission,traçabilité,médecin,prorogation,sécurité,vise,insérer,professionnel,1
supprimer,prévoir,traite,exonération,charge,droit,nouveau,titre,1
santé,domicile,prestataire,service,pouvoir,faire,public,maladie,1
supprimer,revenir,voter,ici,social,devoir,disposition,économique,1
recette,section,affectation,financement,permettre,faire,supprimer,nouveau,1
sénat,groupe,adopter,vise,santé,vise,charge,national,1
ter,taxe,pourcent,agricole,social,vise,permettre,rédiger,1
santé,degré,transparence,compléter,vise,permettre,prévoir,dispositif,1
supprimer,revenu,rémunération,décret,social,vise,général,titre,1
transmanche,maritime,activité,crise,pouvoir,prévoir,droit,état,1
santé,domicile,patient,prestataire,permettre,perte,activité,prendre,1
équité,territorial,insérer,vise,pouvoir,vise,insérer,prendre,1
temps,travail,salarié,dispositif,faire,rédiger,prévoir,charge,1
santé,dispositif,cadre,hébergement,vise,permettre,public,insérer,1
établir,année,insérer,vise,santé,devoir,vise,insérer,1
santé,centre,offre,degré,permettre,public,rédiger,prévoir,1
transfert,recouvrement,caisse,an,social,vise,assurer,substituer,1
établissement,agent,public,service,faire,compléter,disposition,objectif,1
santé,acteur,concerner,insérer,insérer,soin,national,établissement,1
santé,agence,régional,ars,vise,permettre,prévoir,dispositif,1
supprimer,superfétatoire,disposition,relever,disposition,relever,champ,supprimer,1
recherche,psychiatrie,laboratoire,pharmaceutique,sécurité,santé,permettre,financement,1
santé,activité,professionnel,libéral,devoir,charge,financement,général,1
taxe,profession,social,taux,devoir,charge,financement,général,1
ségur,santé,matière,année,condition,substituer,fin,terme,1
prévention,territoire,action,proximité,faire,insérer,national,établissement,1
établissement,coefficient,géographique,degré,social,sécurité,devoir,permettre,1
présumer,rédiger,résultat,essai,sécurité,pouvoir,degré,état,1
sanitaire,santé,zone,produit,vise,permettre,prévoir,maladie,1
prévoir,compenser,perte,recette,social,sécurité,vise,supprimer,1
établissement,coefficient,géographique,dotation,social,sécurité,compléter,degré,1
tarif,organisme,complémentaire,pouvoir,social,santé,vise,permettre,1
sécurité,vigilance,origine,pièce,faire,compléter,nouveau,cas,1
établissement,coefficient,géographique,dotation,social,sécurité,insérer,degré,1
sanitaire,améliorer,aide,compléter,pouvoir,devoir,faire,dispositif,1
santé,agence,régional,sécurité,pouvoir,devoir,vise,insérer,1
établissement,charge,patient,public,pouvoir,cadre,service,mois,1
établissement,agent,public,service,faire,insérer,disposition,objectif,1
présence,pouvoir,parental,temps,santé,vise,faire,charge,1
présence,parental,bénéficier,fonctionnaire,vise,public,prévoir,charge,1
évaluation,ambulatoire,hôtel,hospitalier,social,permettre,faire,insérer,1
séjour,concerner,hôtel,hospitalier,insérer,dispositif,soin,prestation,1
ségur,santé,matière,année,condition,substituer,terme,financier,1
santé,biosimilaire,degré,taxe,social,sécurité,devoir,rédiger,1
évaluation,ambulatoire,hôtel,hospitalier,social,permettre,faire,compléter,1
santé,atu,mécanisme,année,sécurité,permettre,faire,prévoir,1
présentation,forme,dosage,adapter,sécurité,vise,national,substituer,1
supprimer,superfétatoire,disposition,relever,disposition,relever,champ,réglementaire,1
transfert,maternité,maison,naissance,santé,vise,faire,supprimer,1
établissement,but,sécurité,social,social,sécurité,santé,insérer,1
supprimer,social,nécessaire,combattr,vise,année,organisme,proposer,1
établissement,social,santé,service,pouvoir,vise,public,insérer,1
santé,assurance,maladie,tiers,vise,public,insérer,compléter,1
santé,ambulatoire,permanence,soin,vise,rédiger,professionnel,assurer,1
santé,agence,régionales,présenter,social,sécurité,pouvoir,devoir,1
ressource,degré,destiner,action,social,devoir,permettre,rédiger,1
région,superficie,dotation,critère,permettre,public,insérer,charge,1
