"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)",0
rédiger,année,rédaction,social,sécurité,compléter,2
pouvoir,laboratoire,montant,social,sécurité,dispositif,2
radiothérapie,praticien,conventionner,pouvoir,financement,cadre,2
produit,sucre,transformer,social,devoir,insérer,2
qualité,domicile,indicateur,social,pouvoir,santé,2
publication,identité,coordonnée,social,sécurité,vise,2
professionnel,santé,degré,social,sécurité,devoir,2
professionnel,santé,sécurité,devoir,supprimer,financement,2
public,produit,prix,devoir,supprimer,prévoir,2
public,privé,établissement,social,pouvoir,financement,2
public,médicament,recherche,pouvoir,vise,insérer,2
projet,enfant,devoir,santé,supprimer,dispositif,2
projet,régional,santé,pouvoir,permettre,public,2
public,médicament,investissement,social,sécurité,insérer,2
public,médicament,développement,social,sécurité,insérer,2
proximité,substituer,contigu,proposer,établissement,substituer,2
précision,substituer,avéré,état,substituer,terme,2
prélèvement,cotisation,pourcent,social,sécurité,santé,2
public,information,produit,social,sécurité,pouvoir,2
présence,parental,pouvoir,vise,prévoir,charge,2
public,industriel,commercial,devoir,vise,insérer,2
public,ehpad,social,devoir,vise,rédiger,2
prévention,assurer,lutte,social,santé,permettre,2
psychiatre,objectif,région,charge,compléter,soin,2
psychiatrie,an,financement,condition,prendre,mois,2
recette,section,affectation,devoir,permettre,faire,2
production,audiovisuel,territoire,social,sécurité,devoir,2
recherche,psychiatrie,laboratoire,santé,permettre,dispositif,2
prime,perte,recette,social,sécurité,vise,2
réaliser,téléconsultation,permettre,santé,vise,prévoir,2
rural,foncier,installation,devoir,faire,insérer,2
pouvoir,période,nécessaire,vise,dispositif,condition,2
pouvoir,salarié,prime,social,sécurité,permettre,2
pouvoir,supprimer,vise,vise,supprimer,dispositif,2
prestation,insérer,degré,insérer,degré,pourcent,2
prestation,social,enquête,sécurité,permettre,état,2
revalorisation,établissement,traitement,vise,dispositif,compléter,2
prestation,étranger,verser,pouvoir,année,national,2
prime,numéro,condition,supprimer,rédiger,financement,2
prise,charge,adulte,vise,rédiger,général,2
prix,révision,garantie,santé,vise,permettre,2
prise,charge,dispositif,social,faire,état,2
prise,charge,français,permettre,faire,compléter,2
retraite,âge,légal,sécurité,financement,cotisation,2
retraite,supprimer,vise,prévoir,droit,assurance,2
prix,an,fixer,social,sécurité,pouvoir,2
retenir,publication,modalité,santé,public,charge,2
prix,médicament,convention,vise,rédiger,degré,2
prix,médicament,degré,pouvoir,santé,devoir,2
prix,médicament,public,social,sécurité,vise,2
prix,médicament,révision,social,sécurité,vise,2
nombre,santé,ligne,social,sécurité,maladie,2
nombre,ondam,ligne,santé,public,financement,2
innovation,financement,recherche,pouvoir,permettre,faire,2
maison,naissance,mécanisme,sécurité,vise,insérer,2
maison,naissance,sage,sécurité,pouvoir,santé,2
santé,établissement,soin,public,pourcent,général,2
maison,naissance,établissement,faire,public,dispositif,2
maladie,branche,pourcent,sécurité,santé,public,2
maladie,travail,psychique,vise,faire,compléter,2
manutention,préciser,insérer,social,sécurité,devoir,2
santé,établissement,président,vise,faire,insérer,2
maternel,assistant,site,pouvoir,supprimer,dispositif,2
maternel,employeur,agrément,social,pouvoir,permettre,2
maternel,suspension,agrément,social,devoir,permettre,2
maternité,répondre,fermeture,santé,devoir,supprimer,2
santé,établissement,financement,vise,public,compléter,2
mayotte,étranger,prestation,vise,insérer,national,2
santé,établissement,ensemble,devoir,vise,permettre,2
mineur,an,acte,pouvoir,supprimer,proposer,2
santé,versement,régional,permettre,insérer,prévoir,2
santé,travail,travailleur,pouvoir,devoir,vise,2
mission,prévention,état,social,sécurité,santé,2
mission,rôle,cnsa,vise,compléter,proposer,2
mois,convention,devoir,pouvoir,vise,permettre,2
santé,tiers,payer,sécurité,vise,public,2
santé,territorial,mental,social,permettre,compléter,2
santé,soin,public,sécurité,pouvoir,devoir,2
maison,naissance,sage,social,pouvoir,faire,2
maison,naissance,femme,pouvoir,permettre,faire,2
nombre,effort,hôpital,social,sécurité,prévoir,2
maison,naissance,compléter,compléter,ailleurs,mission,2
insérer,degré,abroger,insérer,degré,abroger,2
social,condition,mise,sécurité,pouvoir,vise,2
insérer,degré,remplacer,insérer,degré,remplacer,2
insérer,degré,santé,permettre,rédiger,financement,2
social,compensation,sécurité,vise,faire,supprimer,2
social,coefficient,géographique,sécurité,pouvoir,vise,2
social,charge,assurance,permettre,faire,insérer,2
investissement,médicament,développement,santé,état,objectif,2
isolement,contention,durée,santé,devoir,vise,2
social,an,sécurité,devoir,supprimer,prévoir,2
juge,informer,médecin,pouvoir,faire,supprimer,2
juge,liberté,contention,permettre,droit,disposition,2
ski,sécurité,social,devoir,rédiger,compléter,2
libéral,appel,permettre,insérer,dispositif,année,2
ligne,devoir,compléter,pouvoir,faire,prévoir,2
ligne,malus,déclarer,pouvoir,devoir,supprimer,2
liste,dispositif,médical,social,sécurité,rédiger,2
service,urgence,ville,pouvoir,supprimer,insérer,2
service,domicile,appel,pouvoir,santé,faire,2
second,substituer,rédactionnel,substituer,second,rédactionnel,2
maison,naissance,activité,santé,insérer,proposer,2
maison,naissance,activité,santé,insérer,établissement,2
maison,naissance,associer,permettre,rédiger,degré,2
montant,ligne,second,vise,objectif,sanitaire,2
montant,pourcent,dépense,social,sécurité,permettre,2
montant,retraité,pension,substituer,convier,revenu,2
santé,régulation,prise,social,sécurité,pouvoir,2
santé,information,médicament,pouvoir,état,soin,2
médicament,mois,pouvoir,social,vise,permettre,2
médicament,mois,santé,social,insérer,rédiger,2
médicament,mois,santé,social,vise,insérer,2
médicament,patient,public,santé,dispositif,pourcent,2
santé,indice,régional,social,sécurité,permettre,2
médicament,politique,production,social,santé,devoir,2
médicament,pourcent,sécurité,santé,devoir,public,2
médicament,présomption,efficacité,pouvoir,pourcent,nouveau,2
médicament,public,tension,santé,permettre,faire,2
médicament,pénurie,nombre,social,sécurité,devoir,2
santé,financement,établissement,insérer,sanitaire,agir,2
médicament,santé,public,social,permettre,rédiger,2
médicament,éventuel,comparateur,devoir,permettre,faire,2
santé,exercice,centre,vise,charge,compléter,2
métier,travail,autonomie,social,sécurité,insérer,2
naissance,enfant,prime,pouvoir,santé,vise,2
naissance,mois,prime,social,sécurité,vise,2
naissance,prime,degré,social,sécurité,devoir,2
santé,donnée,vie,social,sécurité,permettre,2
santé,domicile,prestataire,social,pouvoir,devoir,2
national,critère,financement,permettre,public,rédiger,2
santé,degré,taxe,social,sécurité,devoir,2
santé,installation,territoire,pouvoir,devoir,maladie,2
santé,mental,insérer,social,sécurité,pouvoir,2
médicament,français,homéopathique,cas,médical,mois,2
médecin,soin,social,santé,devoir,vise,2
santé,public,accord,social,sécurité,insérer,2
santé,prévoir,accord,social,sécurité,insérer,2
santé,prévention,insérer,social,pouvoir,devoir,2
santé,projet,territorial,faire,rédiger,nouveau,2
médecin,sanitaire,urgence,devoir,public,insérer,2
employeur,salarié,travail,social,sécurité,vise,2
médecin,santé,libéral,public,insérer,rédiger,2
santé,professionnel,qualité,social,sécurité,pouvoir,2
médecin,social,retraité,santé,devoir,vise,2
santé,professionnel,complémentaire,social,sécurité,pouvoir,2
médecin,supprimer,bis,social,supprimer,charge,2
médicament,france,obligation,pouvoir,vise,permettre,2
santé,prix,critère,social,sécurité,permettre,2
médecin,zone,santé,sécurité,faire,général,2
médical,certificat,sportif,sécurité,pouvoir,vise,2
médical,sportif,supprimer,pouvoir,santé,devoir,2
santé,médicamenteux,insérer,devoir,insérer,soin,2
médicament,atu,groupe,permettre,insérer,nouveau,2
santé,médecin,libéral,pouvoir,devoir,vise,2
médicament,degré,prix,social,sécurité,pouvoir,2
santé,ministre,charger,devoir,insérer,social,2
médicament,développement,public,social,sécurité,vise,2
enfant,aeeh,pouvoir,devoir,faire,supprimer,2
famille,entreprise,ij,devoir,vise,supprimer,2
employeur,salarié,travail,social,sécurité,pouvoir,2
sécurité,social,impôt,santé,vise,permettre,2
compter,janvier,assurance,faire,public,insérer,2
confiance,pouvoir,cas,permettre,faire,degré,2
taux,année,pourcent,social,devoir,faire,2
consultation,patient,prévention,vise,prévoir,financement,2
tard,mars,année,social,vise,permettre,2
sénat,conférence,financeur,social,sécurité,supprimer,2
contentieux,numéro,rétablir,vise,charge,degré,2
sécurité,stock,mois,pouvoir,prévoir,dispositif,2
sécurité,social,taux,devoir,droit,général,2
contribution,autonomie,succession,permettre,faire,insérer,2
contribution,exceptionnel,bénéfice,sécurité,devoir,vise,2
contribution,solidarité,actionnaire,social,vise,supprimer,2
système,mode,financement,santé,devoir,permettre,2
sécurité,social,financer,devoir,faire,prévoir,2
sécurité,social,financement,devoir,faire,rédiger,2
convention,actuel,supprimer,vise,permettre,an,2
coordination,ambulatoire,modalité,vise,rédiger,charge,2
coordination,besoin,soin,pouvoir,insérer,charge,2
coordination,santé,ambulatoire,devoir,vise,compléter,2
coordonner,rédiger,fin,social,santé,public,2
corse,constitution,insérer,santé,faire,public,2
cotisation,contribution,social,sécurité,charge,général,2
cotisation,degré,social,santé,vise,public,2
sécurité,pourcent,médicament,devoir,permettre,faire,2
taux,pharmaceutique,médicament,pouvoir,permettre,public,2
compléter,vii,part,sécurité,devoir,vise,2
compléter,tard,mois,social,permettre,charge,2
taux,pourcent,assurance,devoir,faire,conséquence,2
charge,prise,dispositif,pouvoir,devoir,faire,2
charge,prise,hospitalisation,pouvoir,vise,insérer,2
territoire,santé,fonds,devoir,insérer,rédiger,2
charge,supprimer,sénat,vise,prévoir,dispositif,2
choix,dispositif,médical,faire,degré,droit,2
territoire,devoir,prise,santé,permettre,dispositif,2
territoire,aide,installer,social,vise,insérer,2
chronique,infirmier,expérimentation,devoir,public,prévoir,2
cice,an,emploi,social,sécurité,devoir,2
cice,an,emploi,sécurité,charge,financement,2
taxe,prémi,vin,social,vise,permettre,2
taux,pourcent,vente,vise,insérer,charge,2
taux,pourcent,sécurité,santé,devoir,droit,2
complémentaire,droit,bénéficiaire,social,sécurité,permettre,2
taux,pourcent,sécurité,permettre,public,dispositif,2
complémentaire,gestion,salarié,social,vise,compléter,2
complémentaire,pourcent,supprimer,santé,supprimer,maladie,2
complémentaire,supprimer,nature,pouvoir,vise,faire,2
taux,pourcent,social,sécurité,devoir,vise,2
taux,pourcent,rédiger,vise,financement,assurer,2
stock,produit,obligation,sécurité,santé,vise,2
taux,pourcent,csg,devoir,vise,degré,2
taux,pourcent,contribution,social,sécurité,public,2
cotisation,spécifique,acquisition,sécurité,devoir,permettre,2
coût,social,remettre,pouvoir,devoir,vise,2
supprimer,expérimentation,viser,santé,faire,charge,2
degré,participation,pouvoir,sécurité,santé,vise,2
supprimer,second,rédaction,supprimer,national,second,2
supprimer,santé,modifier,charge,pourcent,cadre,2
supprimer,santé,hôpital,public,état,national,2
supprimer,répertoire,national,social,vise,bénéficiaire,2
supprimer,produit,introduire,ensemble,entreprise,contribution,2
supprimer,procédure,forfait,pouvoir,vise,permettre,2
supprimer,pouvoir,comprendre,pouvoir,supprimer,médical,2
supprimer,porter,fraude,social,devoir,faire,2
supprimer,porte,disposition,disposition,adopter,supprimer,2
supprimer,pension,retraite,social,sécurité,pouvoir,2
supprimer,pension,retraite,pouvoir,faire,proposer,2
degré,pouvoir,cas,supprimer,rédiger,prévoir,2
suspendre,insérer,moment,pouvoir,santé,insérer,2
supprimer,objectif,déjà,objectif,déjà,supprimer,2
degré,prévoir,décret,social,sécurité,santé,2
supprimer,notion,prescription,supprimer,convier,rédaction,2
supprimer,moment,rédaction,supprimer,national,rédaction,2
supprimer,mode,accueil,devoir,année,conséquence,2
supprimer,introduire,sénat,social,sécurité,faire,2
supprimer,introduire,sénat,permettre,question,sénat,2
supprimer,introduire,sénat,entreprise,mois,médicament,2
supprimer,introduire,sénat,dispositif,médical,médicament,2
supprimer,introduire,appel,disposition,déjà,introduire,2
degré,social,aidant,permettre,faire,insérer,2
supprimer,social,groupe,faire,public,état,2
supprimer,social,vise,sécurité,vise,public,2
supprimer,superfétatoire,disposition,disposition,relever,champ,2
supprimer,suppression,contraindre,supprimer,cas,concerner,2
supprimer,éviter,bord,pouvoir,vise,proposer,2
supprimer,voter,incohérent,national,finance,assemblée,2
supprimer,vise,étendre,santé,vise,mettre,2
supprimer,vise,supprime,vise,soin,accès,2
supprimer,vise,remettre,vise,maladie,assurance,2
supprimer,vise,pose,vise,difficulté,supprimer,2
supprimer,vise,modifier,pouvoir,vise,condition,2
supprimer,vise,introduit,vise,mission,sénat,2
supprimer,vise,introduit,social,sécurité,vise,2
supprimer,vise,entraîne,vise,public,dispositif,2
supprimer,vise,disposition,vise,disposition,sénat,2
supprimer,vise,créer,vise,prévoir,nouveau,2
supprimer,vise,créer,vise,dispositif,déjà,2
supprimer,vise,créer,pouvoir,vise,prévoir,2
supprimer,vise,additionnel,vise,proposer,disposition,2
supprimer,vise,additionnel,vise,dispositif,mise,2
supprimer,vise,abaisse,vise,charge,prendre,2
supprimer,taxer,premix,vise,faire,disposition,2
supprimer,supprime,additionnel,social,supprimer,proposer,2
degré,bière,pourcent,social,vise,rédiger,2
degré,bière,pourcent,vise,rédiger,prévoir,2
supprimer,suppression,rédiger,vise,permettre,supprimer,2
supprimer,suppression,entraîne,supprimer,cas,montant,2
test,détail,stratégie,devoir,public,maladie,2
test,social,sécurité,faire,rédiger,charge,2
charge,patient,consigne,social,sécurité,vise,2
agriculteur,social,agricole,sécurité,permettre,faire,2
activité,professionnel,cotisation,rédiger,charge,financement,2
activité,professionnel,cotisation,supprimer,financement,droit,2
activité,établissement,dotation,vise,faire,insérer,2
établissement,mise,calcul,pouvoir,santé,public,2
adulte,établissement,enfant,vise,public,charge,2
établissement,meilleur,dotation,social,sécurité,vise,2
aeeh,branche,association,vise,nouveau,concerner,2
aeeh,famille,allocation,proposer,titre,disposition,2
établissement,incidence,réforme,pouvoir,permettre,supprimer,2
établissement,hospitalier,santé,pouvoir,vise,public,2
agricole,année,dispositif,devoir,permettre,compléter,2
établissement,besoin,territoire,vise,insérer,financement,2
thérapeutique,médicament,intérêt,social,pouvoir,faire,2
établissement,agent,fonction,social,pouvoir,devoir,2
équité,efficience,qualité,santé,devoir,état,2
équité,autonomie,égalité,devoir,droit,perte,2
équipe,soin,coordonner,permettre,rédiger,conséquence,2
allocation,droit,invalidité,vise,insérer,rédiger,2
allocation,droit,invalidité,vise,rédiger,dispositif,2
égalité,salarial,social,prévoir,année,mettre,2
allocation,insérer,degré,devoir,insérer,degré,2
allocation,sécurité,social,pouvoir,devoir,faire,2
an,espérance,vie,social,pouvoir,santé,2
an,ostéoporose,fracture,social,sécurité,santé,2
établissement,santé,financement,social,sécurité,devoir,2
activité,financement,sécurité,permettre,dispositif,établissement,2
établissement,santé,personnel,devoir,insérer,an,2
activité,degré,établissement,social,devoir,insérer,2
évaluation,psychologique,santé,social,devoir,vise,2
académique,médicament,dépense,vise,public,prévoir,2
évaluation,ambulatoire,hôtel,social,permettre,faire,2
accouchement,entretien,femme,pouvoir,devoir,faire,2
accouchement,femme,entretien,pouvoir,devoir,faire,2
accueil,enfant,paternité,permettre,insérer,dispositif,2
accueil,site,agrément,professionnel,ensemble,besoin,2
accueil,site,agrément,proposer,professionnel,ensemble,2
étranger,place,contrôle,social,dispositif,état,2
accueil,site,assistant,pouvoir,devoir,supprimer,2
accès,délai,décret,pouvoir,vise,prendre,2
accès,permanence,territorial,vise,public,compléter,2
état,supprimer,prévoit,social,sécurité,devoir,2
état,supprimer,dispositif,sécurité,vise,permettre,2
accès,unité,adapter,état,décret,fin,2
état,sanitaire,épidémie,santé,permettre,faire,2
état,garantir,choix,pouvoir,santé,faire,2
acteur,prendre,problématique,sécurité,santé,insérer,2
établissement,traitement,santé,vise,permettre,public,2
établissement,spécifique,assure,santé,permettre,compléter,2
activité,accueil,pouvoir,social,vise,insérer,2
activité,cotisation,professionnel,devoir,vise,permettre,2
établissement,santé,ticket,faire,supprimer,public,2
ancienneter,prime,pouvoir,devoir,faire,insérer,2
zone,médecin,franc,pouvoir,devoir,public,2
année,fin,substituer,national,substituer,fin,2
travail,supprimer,vise,vise,supprimer,charge,2
travail,santé,expérimentation,pouvoir,permettre,faire,2
branche,autonomie,financement,social,sécurité,pouvoir,2
travail,pathologie,psychique,social,sécurité,compléter,2
travail,employeur,agricole,sécurité,vise,insérer,2
but,lucratif,structure,vise,cotisation,exonération,2
bénéficiaire,allocation,démarche,social,sécurité,santé,2
bénéficiaire,social,succession,pouvoir,devoir,vise,2
bénéficiaire,succession,social,pouvoir,devoir,vise,2
travail,agricole,permettre,social,pouvoir,supprimer,2
transport,soin,bariatrique,social,sécurité,pouvoir,2
transport,social,sanitaire,faire,prévoir,financement,2
transport,maritime,charge,social,sécurité,permettre,2
transparence,devoir,licence,pouvoir,permettre,faire,2
cannabis,médical,usage,sécurité,devoir,maladie,2
transfert,maison,naissance,pouvoir,faire,public,2
trajectoire,présente,sécurité,supprimer,année,national,2
traitement,confinement,pharmacien,sécurité,santé,permettre,2
carte,vital,biométrique,pouvoir,vise,permettre,2
cas,substituer,santé,santé,public,national,2
titre,allocation,rentrée,social,sécurité,vise,2
central,insérer,organisme,social,sécurité,insérer,2
tiers,payer,santé,sécurité,vise,faire,2
certificat,aptitude,sportif,vise,supprimer,proposer,2
boisson,assiette,taxe,social,sécurité,supprimer,2
travailleur,détacher,fraude,devoir,supprimer,national,2
zone,entreprise,dispositif,devoir,vise,insérer,2
traçabilité,utilisation,fixer,santé,vise,faire,2
zone,développement,entreprise,devoir,vise,insérer,2
vétérinaire,rural,social,devoir,permettre,faire,2
visite,domicile,médical,charge,compléter,maladie,2
vise,supprimer,suppression,supprimer,prestation,suppression,2
août,opportunité,prise,pouvoir,devoir,permettre,2
vin,taxe,produit,pouvoir,supprimer,prévoir,2
vin,taxation,degré,vise,faire,public,2
assistant,maternel,social,pouvoir,vise,faire,2
assurance,autonomie,vie,permettre,public,insérer,2
usager,association,famille,vise,permettre,faire,2
urgence,viser,dispositif,vise,faire,soin,2
urgence,soin,ville,santé,supprimer,maladie,2
autonomie,dépense,branche,social,sécurité,vise,2
autonomie,politique,territorial,national,perte,nouveau,2
urgence,financement,bis,santé,supprimer,insérer,2
autonomie,rôle,accompagnemer,vise,compléter,nouveau,2
autonomie,supprimer,supprime,santé,devoir,permettre,2
autonomie,usager,soutien,pouvoir,vise,insérer,2
autorisation,accès,entreprise,pouvoir,devoir,vise,2
autorisation,délivrer,déposer,vise,disposition,substituer,2
téléconsultation,réaliser,acte,social,sécurité,santé,2
téléconsultation,psychiatrie,pouvoir,devoir,charge,prise,2
téléconsultation,prise,charge,vise,public,insérer,2
degré,social,professionnel,sécurité,insérer,rédiger,2
psychiatrie,recherche,santé,pouvoir,devoir,vise,2
supprimer,bis,référence,social,faire,degré,2
supprimer,dernier,rédaction,supprimer,national,dernier,2
demande,délai,fonds,devoir,vise,supprimer,2
devoir,sécurité,social,pouvoir,vise,faire,2
suivi,représentant,social,santé,vise,permettre,2
dispositif,médical,permanent,devoir,insérer,état,2
degré,vaccination,grippe,devoir,vise,insérer,2
définition,tableau,fonds,pouvoir,prévoir,compléter,2
départemental,autonomie,supprimer,supprimer,dernier,cadre,2
substituer,compléter,degré,compléter,degré,national,2
supprimer,compensation,incohérent,pouvoir,application,finance,2
supprimer,attribue,nombre,pouvoir,faire,supprimer,2
dispositif,médical,substituer,social,faire,compléter,2
supprimer,disposition,manquer,social,disposition,impact,2
dette,présenter,nouveau,sécurité,devoir,permettre,2
dispositif,prise,charge,social,sécurité,pouvoir,2
supprimer,comité,économique,santé,public,mettre,2
disposition,national,supprimer,pouvoir,vise,compléter,2
disposition,pouvoir,dispositif,social,sécurité,santé,2
supprimer,cohérence,demande,supprimer,suppression,demande,2
substituer,entrée,vigueur,substituer,vigueur,publication,2
dispositif,médical,handicap,pouvoir,faire,maladie,2
dividende,autonomie,actionnaire,social,pouvoir,national,2
dématérialisation,prescription,relatif,social,prévoir,charge,2
délai,fonds,droit,pouvoir,santé,supprimer,2
supprimer,conséquence,vise,vise,conséquence,disposition,2
dématérialisation,fraude,prescription,social,pouvoir,santé,2
dividende,autonomie,actionnaire,pouvoir,compléter,national,2
dématérialiser,public,accès,social,pouvoir,vise,2
substituer,organisme,prestataire,degré,organisme,substituer,2
délai,indemnisation,mois,vise,état,substituer,2
dispositif,médical,dépense,social,sécurité,faire,2
supprimer,aller,budget,vise,financement,dispositif,2
droit,allocation,servir,social,sécurité,vise,2
devoir,internet,déclarer,pouvoir,faire,compléter,2
dotation,degré,contrat,rédiger,prévoir,état,2
dépense,prise,charge,devoir,vise,rédiger,2
disposition,hôpital,ambulatoire,santé,permettre,faire,2
dispositif,sécurité,social,devoir,vise,rédiger,2
supprimer,cep,introduire,dispositif,prendre,médical,2
substituer,maximal,durée,prévoir,état,conséquence,2
délai,rédiger,fin,rédiger,national,nouveau,2
supprimer,ajout,sénat,état,activité,médicament,2
dispositif,sécurité,pouvoir,social,vise,permettre,2
développement,public,contribution,social,sécurité,permettre,2
supprimer,affaiblir,rôle,soin,médecin,sein,2
supprimer,déjà,satisfait,déjà,supprimer,satisfait,2
supprimer,division,intituler,supprimer,conséquence,suppression,2
supprimer,actualisation,liste,devoir,dispositif,établissement,2
substituer,durée,isolement,prévoir,état,conséquence,2
supprimer,département,rural,supprimer,national,déjà,2
substituer,maximal,conséquence,prévoir,état,dernier,2
droit,distributeur,détail,social,sécurité,vise,2
supprimer,ensemble,retraité,devoir,supprimer,ensemble,2
employeur,décret,jour,social,sécurité,pouvoir,2
direction,médical,sage,compléter,assurer,précise,2
supprimer,coefficient,géographique,objectif,viser,déjà,2
dépense,établissement,augmentation,permettre,supprimer,degré,2
substituer,occurrence,agir,pouvoir,vise,droit,2
dépense,supprimer,annonce,social,sécurité,santé,2
substituer,second,occurrence,substituer,second,occurrence,2
dépense,soin,ville,social,sécurité,pouvoir,2
définition,tableau,fonds,pouvoir,insérer,prévoir,2
supprimer,cep,introduire,prendre,médicament,politique,2
ehpad,lucratif,nombre,faire,année,conséquence,2
ehpad,lucratif,montant,faire,année,an,2
soin,charge,infirmier,pouvoir,mettre,an,1
victime,militaire,invalidité,insérer,dernier,créer,1
régime,dépense,général,social,sécurité,supprimer,1
région,superficie,dotation,permettre,public,insérer,1
référentiel,certification,ensemble,social,sécurité,devoir,1
utilisation,ondam,bénéficiaire,vise,public,maladie,1
vaccin,sécurité,occurrence,vise,insérer,médicament,1
région,coefficient,degré,social,sécurité,santé,1
vie,établissement,besoin,permettre,financement,compléter,1
régime,insérer,possibilité,rédiger,droit,traitement,1
vaccination,vaccin,centre,vise,permettre,public,1
régime,maladie,agricole,devoir,insérer,rédiger,1
régime,prévoyance,retraite,social,sécurité,supprimer,1
vie,social,contribution,pouvoir,public,état,1
victime,violence,charge,vise,permettre,faire,1
victime,paraquat,compléter,vise,faire,charge,1
verser,pouvoir,social,compléter,cas,objectif,1
régime,second,occurrence,insérer,base,obligatoire,1
régime,social,disposition,pouvoir,vise,insérer,1
victime,militaire,invalidité,compléter,dernier,créer,1
régime,social,exonération,pouvoir,devoir,rédiger,1
soin,cancer,charge,pouvoir,vise,permettre,1
référencemer,insérer,prévue,insérer,prévue,référencemer,1
social,personnel,service,sécurité,faire,financement,1
viii,degré,x,social,sécurité,financement,1
ville,dépense,risque,social,sécurité,vise,1
référence,insérer,rédactionnel,insérer,référence,rédactionnel,1
référence,insérer,remplacer,insérer,remplacer,obsolète,1
soin,dotation,hospitalier,devoir,vise,insérer,1
référence,insérer,degré,insérer,degré,remplacer,1
vin,taxe,produit,pouvoir,vise,rédiger,1
vin,taxe,supprimer,faire,pourcent,an,1
référence,insérer,bis,insérer,dernier,remplacer,1
référence,fin,supprimer,vise,supprimer,compléter,1
vise,supprimer,suppression,supprimer,impôt,france,1
soin,département,lutte,pouvoir,insérer,année,1
référence,ensemble,bénéficiaire,santé,vise,permettre,1
référence,degré,substituer,substituer,degré,référence,1
référence,degré,remplacer,conséquence,degré,erreur,1
référence,degré,insérer,sécurité,devoir,financement,1
référence,compléter,rédiger,rédiger,compléter,degré,1
substituer,date,entrée,substituer,janvier,date,1
réduction,écart,département,social,vise,rédiger,1
voie,dématérialiser,conséquence,social,supprimer,insérer,1
volontaire,sapeur,pompier,vise,faire,public,1
référence,numéro,social,sécurité,substituer,relatif,1
soin,domicile,prévention,social,pouvoir,devoir,1
référence,rédiger,fin,faire,rédiger,fin,1
vin,degré,méthode,social,sécurité,devoir,1
référencement,produit,dispositif,social,devoir,rédiger,1
référencement,produit,conséquence,social,devoir,insérer,1
ville,dépense,évolution,social,sécurité,vise,1
vin,alcool,consommation,pouvoir,vise,degré,1
référence,supprimer,conséquence,vise,supprimer,insérer,1
vin,base,taxation,vise,permettre,faire,1
référence,substituer,second,substituer,second,occurrence,1
vin,boisson,aromatiser,pouvoir,santé,vise,1
vin,filière,prémi,pouvoir,santé,devoir,1
référence,substituer,bis,conséquence,dernier,rédactionnel,1
vin,produit,aromatiser,devoir,permettre,faire,1
substituer,dernier,régime,dernier,substituer,régime,1
référence,substituer,rédactionnel,substituer,rédactionnel,référence,1
substituer,dernier,rédactionnel,dernier,substituer,rédactionnel,1
référence,substituer,degré,degré,substituer,référence,1
référence,substituer,degré,degré,conséquence,substituer,1
vin,taxation,prémi,vise,faire,public,1
référence,substituer,correction,substituer,erreur,correction,1
référence,substituer,santé,santé,public,substituer,1
répondre,cotisant,convier,insérer,rédiger,droit,1
usage,pouvoir,consigne,devoir,faire,maladie,1
travail,rédiger,entreprise,devoir,permettre,prévoir,1
sanitaire,améliorer,aide,pouvoir,devoir,faire,1
travail,révision,nomenclature,social,sécurité,santé,1
travail,salarié,insertion,sécurité,vise,public,1
substituer,initier,débuté,substituer,rédactionnel,initier,1
sanction,travail,dissimulé,social,permettre,rédiger,1
salarié,prime,social,sécurité,permettre,insérer,1
salarié,part,interdiction,vise,prévoir,droit,1
salarié,part,interdiction,vise,insérer,prévoir,1
salarié,mise,place,sécurité,vise,insérer,1
social,sécurité,seuil,pouvoir,vise,permettre,1
substituer,identifié,application,prévoir,disposition,substituer,1
salarié,entreprise,prime,social,sécurité,vise,1
travail,trajet,devoir,sécurité,vise,faire,1
salarié,employeur,naissance,social,devoir,vise,1
salarié,employeur,jour,devoir,vise,rédiger,1
salarié,employeur,accouchement,social,devoir,vise,1
travail,état,transport,prévoir,droit,conséquence,1
salarier,insérer,profession,insérer,profession,rédactionnel,1
social,sécurité,système,pouvoir,public,financement,1
travail,révision,liste,social,sécurité,santé,1
sanitaire,santé,zone,vise,permettre,prévoir,1
social,sécurité,sénat,pouvoir,vise,faire,1
santé,acteur,concerner,insérer,soin,national,1
santé,complémentaire,permettre,social,sécurité,supprimer,1
substituer,limite,pouvoir,pouvoir,substituer,limite,1
santé,complémentaire,droit,social,sécurité,permettre,1
santé,centre,professionnel,dispositif,national,nouveau,1
santé,centre,offre,permettre,public,rédiger,1
travail,délai,carence,santé,permettre,rédiger,1
substituer,justifier,texte,substituer,justifier,texte,1
travail,employeur,entreprise,sécurité,vise,supprimer,1
travail,entreprise,agricole,sécurité,devoir,permettre,1
santé,biosimilaire,degré,social,sécurité,devoir,1
santé,atu,mécanisme,sécurité,permettre,faire,1
substituer,juillet,vigueur,substituer,vigueur,juillet,1
santé,assurance,maladie,vise,public,insérer,1
santé,ambulatoire,permanence,vise,rédiger,professionnel,1
santé,agence,régionales,social,sécurité,pouvoir,1
santé,agence,régional,vise,permettre,prévoir,1
santé,agence,régional,pouvoir,devoir,vise,1
substituer,jour,entrée,substituer,jour,date,1
santé,activité,professionnel,devoir,charge,financement,1
travailleur,social,supprimer,devoir,permettre,insérer,1
très,petit,entreprise,pouvoir,santé,insérer,1
