,Mot Nº1,Mot Nº2,Mot Nº3,Mot Nº4,Mot Nº5,Mot Nº6,Mot Nº7,Mot Nº8,Mot Nº9,Mot Nº10
AMANR5L15PO717460B2296P0D1N001032,"('famille', 5)","('supprimer', 2)","('article', 2)","('maladie', 2)","('degré', 1)","('nouveau', 1)","('rédaction', 1)","('code', 1)","('sécurité', 1)","('social', 1)"
AMANR5L15PO717460B2296P0D1N001033,"('place', 8)","('accueil', 6)","('jeune', 6)","('adulte', 6)","('établissement', 4)","('structure', 4)","('service', 3)","('an', 3)","('enfant', 3)","('adolescent', 3)"
AMANR5L15PO717460B2296P0D1N001037,"('prime', 5)","('social', 4)","('cotisation', 3)","('contribution', 2)","('groupe', 2)","('socialiste', 2)","('resocialiser', 2)","('exceptionnel', 2)","('considérer', 2)","('sécurité', 2)"
AMANR5L15PO717460B2296P0D1N001038,"('éviter', 2)","('bonus', 2)","('malus', 2)","('compléter', 1)","('limite', 1)","('pourcentage', 1)","('fixer', 1)","('décret', 1)","('groupe', 1)","('socialiste', 1)"
AMANR5L15PO717460B2296P0D1N001039,"('social', 8)","('sécurité', 5)","('heure', 4)","('supplémentaire', 4)","('état', 3)","('budget', 3)","('groupe', 2)","('socialiste', 2)","('oppose', 2)","('désocialisation', 2)"
AMANR5L15PO717460B2296P0D1N001040,"('social', 3)","('emploi', 3)","('exonération', 3)","('sécurité', 2)","('nombre', 2)","('salaire', 2)","('dispositif', 2)","('création', 2)","('recette', 2)","('milliard', 2)"
AMANR5L15PO717460B2296P0D1N001041,"('ville', 4)","('dépense', 3)","('risque', 3)","('dépassement', 3)","('évolution', 3)","('article', 2)","('assurance', 2)","('maladie', 2)","('soin', 2)","('code', 1)"
AMANR5L15PO717460B2296P0D1N001042,"('montant', 12)","('santé', 8)","('ligne', 6)","('colonne', 6)","('tableau', 6)","('substituer', 6)","('public', 6)","('second', 5)","('conséquence', 5)","('hôpital', 5)"
AMANR5L15PO717460B2296P0D1N001044,"('maladie', 5)","('travail', 4)","('psychique', 3)","('lier', 3)","('article', 2)","('code', 2)","('sécurité', 2)","('social', 2)","('pathologie', 2)","('professionnel', 2)"
AMANR5L15PO717460B2296P0D1N001045,"('article', 3)","('sanction', 3)","('travail', 3)","('dissimulé', 3)","('exonération', 3)","('entreprise', 3)","('supprimer', 2)","('annulation', 2)","('cotisation', 2)","('social', 2)"
AMANR5L15PO717460B2296P0D1N001046,"('sécurité', 11)","('social', 11)","('financer', 4)","('financement', 3)","('autonomie', 3)","('total', 3)","('permettre', 3)","('cotisation', 3)","('nouveau', 3)","('évolution', 2)"
AMANR5L15PO717460B2296P0D1N001047,"('article', 6)","('dette', 5)","('social', 5)","('degré', 3)","('affecter', 3)","('pourcent', 3)","('général', 3)","('perte', 3)","('produit', 2)","('mission', 2)"
AMANR5L15PO717460B2296P0D1N001048,"('sécurité', 7)","('social', 7)","('article', 6)","('trajectoire', 4)","('recette', 3)","('déficit', 3)","('budgétaire', 3)","('santé', 3)","('perte', 3)","('nouveau', 2)"
AMANR5L15PO717460B2296P0D1N001051,"('prise', 3)","('charge', 3)","('dispositif', 3)","('médical', 3)","('supprimer', 2)","('assurer', 2)","('consigne', 2)","('pouvoir', 2)","('groupe', 1)","('socialiste', 1)"
AMANR5L15PO717460B2296P0D1N001052,"('dispositif', 7)","('médical', 7)","('permanent', 4)","('consigne', 3)","('bon', 3)","('demander', 3)","('degré', 2)","('handicaper', 2)","('nécessiter', 2)","('manière', 2)"
AMANR5L15PO717460B2296P0D1N001053,"('prix', 13)","('médicament', 9)","('degré', 5)","('bout', 5)","('an', 5)","('amélioration', 5)","('service', 5)","('médical', 5)","('cas', 5)","('indication', 5)"
AMANR5L15PO717460B2296P0D1N001054,"('investissement', 6)","('médicament', 5)","('prix', 5)","('sécurité', 3)","('public', 3)","('recherche', 3)","('développement', 3)","('prendre', 3)","('définition', 3)","('pouvoir', 3)"
AMANR5L15PO717460B2296P0D1N001055,"('prix', 6)","('médicament', 5)","('convention', 4)","('public', 3)","('transparence', 3)","('santé', 3)","('accès', 3)","('insérer', 2)","('tarif', 2)","('mentionner', 2)"
AMANR5L15PO717460B2296P0D1N001056,"('médicament', 5)","('atu', 4)","('groupe', 3)","('socialiste', 3)","('accès', 3)","('décret', 2)","('investissement', 2)","('public', 2)","('outil', 2)","('dispositif', 2)"
AMANR5L15PO717460B2296P0D1N001057,"('revenu', 3)","('santé', 3)","('substituer', 2)","('âge', 2)","('critère', 2)","('bénéficiaire', 2)","('complémentaire', 2)","('solidaire', 2)","('fixer', 2)","('faire', 2)"
AMANR5L15PO717460B2296P0D1N001058,"('médecin', 6)","('santé', 5)","('article', 4)","('libéral', 4)","('zone', 3)","('médical', 3)","('matière', 2)","('conventionnement', 2)","('groupe', 2)","('socialiste', 2)"
AMANR5L15PO717460B2296P0D1N001059,"('médecin', 8)","('conventionnement', 6)","('libéral', 6)","('expérimentation', 6)","('zone', 4)","('santé', 4)","('an', 3)","('conseil', 3)","('territorial', 3)","('bilan', 3)"
AMANR5L15PO717460B2296P0D1N001060,"('santé', 6)","('installation', 5)","('territoire', 4)","('désertification', 4)","('médical', 4)","('article', 3)","('code', 3)","('accès', 3)","('ministre', 3)","('prendre', 3)"
AMANR5L15PO717460B2296P0D1N001061,"('médecin', 20)","('degré', 13)","('zone', 10)","('conventionnement', 7)","('article', 6)","('santé', 6)","('libéral', 6)","('code', 5)","('condition', 5)","('activité', 5)"
AMANR5L15PO717460B2296P0D1N001066,"('santé', 9)","('tiers', 5)","('payer', 5)","('maladie', 5)","('assurance', 4)","('article', 3)","('professionnel', 3)","('maison', 3)","('complémentaire', 3)","('code', 2)"
AMANR5L15PO717460B2296P0D1N001067,"('santé', 15)","('tiers', 9)","('payer', 9)","('maladie', 9)","('assurance', 8)","('article', 6)","('professionnel', 5)","('complémentaire', 5)","('maison', 5)","('appliquer', 4)"
AMANR5L15PO717460B2296P0D1N001068,"('tiers', 14)","('payer', 13)","('assurance', 11)","('maladie', 9)","('bénéficiaire', 7)","('degré', 7)","('santé', 6)","('professionnel', 5)","('soin', 5)","('permettre', 4)"
AMANR5L15PO717460B2296P0D1N001069,"('santé', 6)","('tiers', 5)","('payer', 5)","('dentaire', 5)","('pourcent', 4)","('optique', 4)","('audiologie', 4)","('accès', 3)","('soin', 3)","('faire', 2)"
AMANR5L15PO717460B2296P0D1N001070,"('expérimentation', 4)","('santé', 4)","('tiers', 3)","('payer', 3)","('pourcent', 3)","('dentaire', 3)","('accès', 3)","('soin', 3)","('pouvoir', 2)","('titre', 2)"
AMANR5L15PO717460B2296P0D1N001071,"('médical', 5)","('certificat', 3)","('santé', 3)","('article', 2)","('groupe', 2)","('socialiste', 2)","('sport', 2)","('effectuer', 2)","('faire', 2)","('obligatoire', 2)"
AMANR5L15PO717460B2296P0D1N001072,"('médical', 7)","('certificat', 4)","('sportif', 3)","('article', 3)","('an', 3)","('examen', 2)","('obligatoire', 2)","('code', 2)","('santé', 2)","('cadre', 2)"
AMANR5L15PO717460B2296P0D1N001073,"('social', 9)","('établissement', 7)","('soin', 6)","('service', 6)","('acte', 6)","('code', 5)","('article', 4)","('aide', 4)","('médico', 3)","('dudit', 2)"
AMANR5L15PO717460B2296P0D1N001076,"('social', 7)","('pourcent', 4)","('prestation', 4)","('groupe', 3)","('socialiste', 3)","('inflation', 3)","('pension', 3)","('retraite', 3)","('sécurité', 3)","('taux', 2)"
AMANR5L15PO717460B2296P0D1N001077,"('bénéficiaire', 7)","('succession', 7)","('article', 6)","('social', 6)","('euro', 5)","('âgé', 5)","('recours', 5)","('aspa', 5)","('pourcent', 4)","('code', 3)"
AMANR5L15PO717460B2296P0D1N001078,"('professionnel', 8)","('travail', 4)","('maladie', 4)","('risque', 4)","('prévention', 4)","('article', 3)","('employeur', 3)","('entreprise', 3)","('burn', 3)","('out', 3)"
AMANR5L15PO717460B2296P0D1N001080,"('taxe', 7)","('prémi', 5)","('vin', 5)","('aromatiser', 5)","('alcool', 5)","('jeune', 5)","('boisson', 4)","('litre', 3)","('national', 3)","('pourcent', 3)"
AMANR5L15PO717460B2296P0D1N001082,"('taux', 3)","('pourcent', 3)","('sécurité', 2)","('social', 2)","('groupe', 2)","('action', 2)","('gratuit', 2)","('raison', 2)","('degré', 1)","('article', 1)"
AMANR5L15PO717460B2296P0D1N001083,"('social', 5)","('ehpad', 4)","('article', 3)","('code', 3)","('cotisation', 3)","('public', 3)","('sécurité', 2)","('mentionner', 2)","('groupe', 2)","('allégement', 2)"
AMANR5L15PO717460B2296P0D1N001084,"('âge', 6)","('bénéficiaire', 4)","('santé', 4)","('fonction', 3)","('complémentaire', 3)","('logique', 3)","('supprimer', 2)","('groupe', 2)","('socialiste', 2)","('souhaite', 2)"
AMANR5L15PO717460B2296P0D1N001085,"('entreprise', 5)","('travail', 5)","('dissimulé', 5)","('sanction', 4)","('exonération', 3)","('annulation', 2)","('cotisation', 2)","('social', 2)","('gravité', 2)","('infraction', 2)"
AMANR5L15PO717460B2296P0D1N001086,"('social', 7)","('sécurité', 6)","('article', 4)","('compensation', 4)","('état', 3)","('impôt', 2)","('code', 2)","('supprimer', 1)","('dispose', 1)","('crédit', 1)"
AMANR5L15PO717460B2296P0D1N001087,"('sécurité', 3)","('vigilance', 3)","('origin', 2)","('pièce', 2)","('détachée', 2)","('réparation', 2)","('garantie', 2)","('handicap', 2)","('matério', 2)","('dispositif', 2)"
AMANR5L15PO717460B2296P0D1N001088,"('ondam', 4)","('hospitalier', 3)","('supprimer', 2)","('article', 2)","('très', 2)","('crise', 2)","('urgence', 2)","('voter', 2)","('hôpital', 2)","('valide', 1)"
AMANR5L15PO717460B2296P0D1N001089,"('euro', 26)","('part', 9)","('majorer', 6)","('supplémentaire', 6)","('montant', 6)","('fixé', 6)","('article', 5)","('revenu', 5)","('degré', 5)","('social', 4)"
AMANR5L15PO717460B2296P0D1N001090,"('sécurité', 7)","('social', 7)","('article', 3)","('état', 3)","('faire', 3)","('déficit', 3)","('supprimer', 2)","('compensation', 2)","('sécu', 2)","('prévoir', 2)"
AMANR5L15PO717460B2296P0D1N001091,"('santé', 7)","('établissement', 4)","('garantie', 4)","('financement', 4)","('besoin', 4)","('fonction', 3)","('expérimentation', 3)","('état', 2)","('ministre', 2)","('sécurité', 2)"
AMANR5L15PO717460B2296P0D1N001093,"('activité', 7)","('cotisation', 5)","('professionnel', 5)","('libéral', 4)","('article', 3)","('pluriactif', 3)","('revenu', 3)","('assurance', 3)","('vieilless', 3)","('code', 2)"
AMANR5L15PO717460B2296P0D1N001094,"('hôpital', 5)","('proximité', 5)","('activité', 4)","('financement', 4)","('volume', 3)","('ressource', 3)","('modèle', 2)","('stabilité', 2)","('garantie', 2)","('lier', 2)"
AMANR5L15PO717460B2296P0D1N001097,"('pharmacien', 4)","('nicotinique', 3)","('article', 2)","('santé', 2)","('compléter', 2)","('degré', 2)","('officin', 2)","('autoriser', 2)","('prescrire', 2)","('substitut', 2)"
AMANR5L15PO717460B2296P0D1N001099,"('article', 5)","('mise', 5)","('code', 4)","('réserve', 4)","('sécurité', 4)","('social', 4)","('santé', 3)","('soin', 3)","('ville', 3)","('public', 2)"
AMANR5L15PO717460B2296P0D1N001100,"('supprimer', 2)","('mode', 2)","('accueil', 2)","('parer', 2)","('assistant', 2)","('maternel', 2)","('disposition', 2)","('disponibilité', 2)","('obligation', 2)","('conséquence', 1)"
AMANR5L15PO717460B2296P0D1N001101,"('supprimer', 2)","('article', 2)","('parent', 2)","('famille', 2)","('objectif', 1)","('réduire', 1)","('indemnité', 1)","('journalier', 1)","('modifier', 1)","('code', 1)"
AMANR5L15PO717460B2296P0D1N001103,"('article', 5)","('code', 3)","('sécurité', 2)","('social', 2)","('cotisation', 2)","('salaire', 2)","('salarier', 1)","('fin', 1)","('rédiger', 1)","('employeur', 1)"
AMANR5L15PO717460B2296P0D1N001105,"('degré', 8)","('social', 6)","('article', 5)","('sécurité', 4)","('janvier', 4)","('applique', 4)","('compter', 4)","('code', 3)","('modifier', 3)","('remplacer', 3)"
AMANR5L15PO717460B2296P0D1N001107,"('santé', 3)","('répartition', 2)","('régional', 2)","('offre', 2)","('soin', 2)","('besoin', 2)","('territoire', 2)","('article', 1)","('code', 1)","('public', 1)"
AMANR5L15PO717460B2296P0D1N001108,"('retraite', 7)","('aah', 7)","('disposition', 6)","('article', 3)","('pension', 3)","('droit', 3)","('cumul', 2)","('montant', 2)","('ressource', 2)","('taux', 2)"
AMANR5L15PO717460B2296P0D1N001110,"('article', 4)","('zone', 4)","('code', 3)","('développement', 3)","('entreprise', 3)","('dispositif', 3)","('sécurité', 2)","('social', 2)","('impôt', 2)","('prioritaire', 2)"
AMANR5L15PO717460B2296P0D1N001111,"('zone', 5)","('article', 4)","('code', 3)","('développement', 3)","('entreprise', 3)","('dispositif', 3)","('sécurité', 2)","('social', 2)","('impôt', 2)","('commune', 2)"
AMANR5L15PO717460B2296P0D1N001116,"('degré', 11)","('bière', 8)","('pourcent', 6)","('vol', 6)","('alcoométrique', 5)","('remplacer', 3)","('alcool', 3)","('modifier', 2)","('euro', 2)","('titre', 2)"
AMANR5L15PO717460B2296P0D1N001117,"('taux', 7)","('pourcent', 6)","('vente', 6)","('marge', 5)","('métropole', 4)","('part', 4)","('gros', 4)","('département', 3)","('contribution', 3)","('directer', 3)"
AMANR5L15PO717460B2296P0D1N001118,"('santé', 5)","('mental', 5)","('région', 4)","('établissement', 4)","('national', 3)","('trouble', 3)","('organisation', 2)","('territoire', 2)","('difficulté', 2)","('devoir', 2)"
AMANR5L15PO717460B2296P0D1N001120,"('recherche', 7)","('médicament', 6)","('investissement', 6)","('public', 6)","('prix', 5)","('développement', 4)","('prendre', 3)","('définition', 3)","('financement', 3)","('article', 2)"
AMANR5L15PO717460B2296P0D1N001121,"('prix', 7)","('santé', 6)","('convention', 4)","('public', 4)","('médicament', 4)","('transparence', 3)","('information', 3)","('accès', 3)","('insérer', 2)","('tarif', 2)"
AMANR5L15PO717460B2296P0D1N001122,"('bénéficiaire', 7)","('social', 6)","('succession', 6)","('âgé', 5)","('aspa', 5)","('article', 4)","('euro', 4)","('pourcent', 4)","('recours', 4)","('code', 3)"
AMANR5L15PO717460B2296P0D1N001124,"('année', 4)","('chiffre', 3)","('affaire', 3)","('sécurité', 3)","('social', 3)","('montant', 2)","('fixer', 2)","('arrêté', 2)","('juin', 2)","('financement', 2)"
AMANR5L15PO717460B2296P0D1N001125,"('indicateur', 9)","('santé', 5)","('usage', 5)","('patient', 5)","('objectif', 4)","('public', 3)","('permettre', 3)","('médical', 3)","('rosp', 3)","('pratique', 3)"
AMANR5L15PO717460B2296P0D1N001126,"('médicament', 6)","('plasma', 5)","('dériver', 4)","('exception', 2)","('pharmaceutique', 2)","('raison', 2)","('pouvoir', 2)","('unique', 2)","('patient', 2)","('alternative', 2)"
AMANR5L15PO717460B2296P0D1N001127,"('médicament', 6)","('plasma', 5)","('dériver', 4)","('difficulté', 2)","('approvisionnement', 2)","('pouvoir', 2)","('entreprise', 2)","('stock', 2)","('sécurité', 2)","('occurrence', 1)"
AMANR5L15PO717460B2296P0D1N001128,"('médicament', 5)","('plasma', 4)","('entreprise', 3)","('manquement', 3)","('dériver', 3)","('pharmaceutique', 2)","('sanction', 2)","('financier', 2)","('difficulté', 2)","('approvisionnement', 2)"
AMANR5L15PO717460B2296P0D1N001129,"('régime', 4)","('supprimer', 2)","('retraite', 2)","('faire', 2)","('spécial', 2)","('sncf', 2)","('envisage', 1)","('article', 1)","('engager', 1)","('discussion', 1)"
AMANR5L15PO717460B2296P0D1N001130,"('santé', 4)","('professionnel', 3)","('qualité', 2)","('vie', 2)","('travail', 2)","('lier', 2)","('national', 2)","('financement', 2)","('réalité', 2)","('état', 2)"
AMANR5L15PO717460B2296P0D1N001131,"('prestation', 2)","('insérer', 1)","('degré', 1)","('bis', 1)","('mentionner', 1)","('article', 1)","('code', 1)","('vise', 1)","('revaloriser', 1)","('montant', 1)"
AMANR5L15PO717460B2296P0D1N001132,"('pouvoir', 4)","('supprimer', 2)","('quotidiennement', 2)","('fauteuil', 2)","('rouler', 2)","('part', 2)","('vph', 1)","('matériel', 1)","('utiliser', 1)","('mobilité', 1)"
AMANR5L15PO717460B2296P0D1N001133,"('sportif', 7)","('consultation', 4)","('pratique', 4)","('médical', 4)","('obligatoire', 3)","('enfant', 3)","('adolescent', 3)","('certificat', 3)","('assurance', 3)","('supprimer', 2)"
AMANR5L15PO717460B2296P0D1N001135,"('établissement', 5)","('migac', 3)","('meilleur', 3)","('dotation', 2)","('santé', 2)","('équité', 2)","('public', 2)","('enveloppe', 2)","('financer', 2)","('pourcentage', 2)"
AMANR5L15PO717460B2296P0D1N001138,"('salarié', 6)","('entreprise', 3)","('employeur', 3)","('prime', 3)","('exceptionnel', 3)","('article', 3)","('impôt', 3)","('mise', 3)","('place', 3)","('an', 2)"
AMANR5L15PO717460B2296P0D1N001140,"('article', 3)","('social', 3)","('quater', 2)","('code', 2)","('général', 2)","('impôt', 2)","('charge', 2)","('patronal', 2)","('contribution', 2)","('revenu', 1)"
AMANR5L15PO717460B2296P0D1N001141,"('santé', 4)","('degré', 3)","('transparence', 3)","('article', 2)","('compléter', 2)","('régional', 2)","('financier', 2)","('chapitre', 1)","('ier', 1)","('titre', 1)"
AMANR5L15PO717460B2296P0D1N001145,"('familial', 7)","('politique', 5)","('social', 4)","('principe', 4)","('universalité', 4)","('enfant', 4)","('sécurité', 2)","('reposer', 2)","('français', 2)","('parent', 2)"
AMANR5L15PO717460B2296P0D1N001150,"('famille', 7)","('familial', 7)","('prestation', 6)","('euro', 3)","('article', 2)","('million', 2)","('ensemble', 2)","('insérer', 1)","('degré', 1)","('bis', 1)"
AMANR5L15PO717460B2296P0D1N001151,"('zone', 9)","('médecin', 6)","('franc', 5)","('médical', 5)","('article', 3)","('social', 3)","('installation', 3)","('code', 2)","('santé', 2)","('régional', 2)"
AMANR5L15PO717460B2296P0D1N001153,"('familial', 4)","('allocation', 4)","('naissance', 4)","('adopter', 3)","('mode', 3)","('politique', 2)","('quotient', 2)","('parental', 2)","('base', 2)","('enfant', 2)"
AMANR5L15PO717460B2296P0D1N001160,"('article', 5)","('mise', 5)","('code', 4)","('réserve', 4)","('santé', 3)","('soin', 3)","('ville', 3)","('sécurité', 3)","('social', 3)","('public', 2)"
AMANR5L15PO717460B2296P0D1N001165,"('insérer', 1)","('degré', 1)","('article', 1)","('abroger', 1)","('rédactionnel', 1)",,,,,
AMANR5L15PO717460B2296P0D1N001166,"('fin', 1)","('supprimer', 1)","('compter', 1)","('janvier', 1)","('rédactionnel', 1)",,,,,
AMANR5L15PO717460B2296P0D1N001167,"('financier', 1)","('rédiger', 1)","('fin', 1)","('charge', 1)","('rédactionnel', 1)",,,,,
AMANR5L15PO717460B2296P0D1N001168,"('fin', 1)","('substituer', 1)","('susmentionner', 1)","('prévue', 1)","('article', 1)","('rédactionnel', 1)",,,,
AMANR5L15PO717460B2296P0D1N001170,"('respectivement', 2)","('droit', 2)","('voir', 2)","('proposer', 2)","('contrat', 2)","('substituer', 1)","('rédactionnel', 1)",,,
AMANR5L15PO717460B2296P0D1N001171,"('honoraire', 2)","('conventionnel', 2)","('maximal', 2)","('substituer', 1)","('tiré', 1)","('tirer', 1)","('rédactionnel', 1)",,,
AMANR5L15PO717460B2296P0D1N001172,"('insérer', 1)","('degré', 1)","('article', 1)","('abroger', 1)","('coordination', 1)",,,,,
AMANR5L15PO717460B2296P0D1N001173,"('minimal', 2)","('maximal', 2)","('durée', 2)","('substituer', 1)","('condition', 1)","('rédactionnel', 1)",,,,
AMANR5L15PO717460B2296P0D1N001174,"('second', 1)","('supprimer', 1)","('rédactionnel', 1)",,,,,,,
AMANR5L15PO717460B2296P0D1N001175,"('ensemble', 2)","('période', 2)","('atteindre', 2)","('âge', 2)","('bénéficier', 2)","('avantage', 2)","('limite', 2)","('fixé', 2)","('décret', 2)","('fin', 1)"
AMANR5L15PO717460B2296P0D1N001176,"('occurrence', 1)","('condition', 1)","('insérer', 1)","('fixer', 1)","('conséquence', 1)","('compléter', 1)","('fixé', 1)","('rédactionnel', 1)",,
AMANR5L15PO717460B2296P0D1N001178,"('substituer', 1)","('rédactionnel', 1)",,,,,,,,
AMANR5L15PO717460B2296P0D1N001179,"('référence', 1)","('rédiger', 1)","('fin', 1)","('remplacer', 1)","('faire', 1)","('distribution', 1)","('parallèle', 1)","('sens', 1)","('article', 1)","('code', 1)"
AMANR5L15PO717460B2296P0D1N001180,"('social', 5)","('matériel', 5)","('sécurité', 4)","('milliard', 4)","('médical', 3)","('économie', 3)","('coûter', 3)","('aide', 3)","('technique', 3)","('délai', 2)"
AMANR5L15PO717460B2296P0D1N001181,"('entreprise', 3)","('assurer', 3)","('importation', 2)","('parallèle', 2)","('substituer', 1)","('spécialité', 1)","('rédactionnel', 1)",,,
AMANR5L15PO717460B2296P0D1N001182,"('référence', 4)","('insérer', 1)","('remplacer', 1)","('obsolète', 1)",,,,,,
AMANR5L15PO717460B2296P0D1N001184,"('an', 2)","('article', 1)","('code', 1)","('sécurité', 1)","('social', 1)","('coefficier', 1)","('insérer', 1)","('réviser', 1)","('vise', 1)","('inscrire', 1)"
AMANR5L15PO717460B2296P0D1N001185,"('sportif', 6)","('médical', 5)","('fédération', 4)","('compléter', 3)","('fixer', 3)","('commission', 3)","('article', 3)","('prévoir', 3)","('certificat', 3)","('pratique', 3)"
AMANR5L15PO717460B2296P0D1N001186,"('santé', 10)","('service', 7)","('hôpital', 5)","('public', 5)","('français', 5)","('soin', 4)","('soignant', 4)","('article', 3)","('système', 3)","('permettre', 3)"
AMANR5L15PO717460B2296P0D1N001187,"('sportif', 20)","('médical', 15)","('fédération', 14)","('compétition', 12)","('certificat', 12)","('pratique', 10)","('sport', 9)","('licence', 9)","('santé', 9)","('article', 8)"
AMANR5L15PO717460B2296P0D1N001189,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('saad', 3)","('cesu', 3)","('contemporanéité', 2)","('impôt', 2)","('mentionner', 2)","('participation', 2)"
AMANR5L15PO717460B2296P0D1N001190,"('social', 10)","('année', 7)","('sécurité', 6)","('faire', 4)","('groupe', 3)","('budget', 3)","('compenser', 3)","('effort', 3)","('équilibre', 3)","('état', 3)"
AMANR5L15PO717460B2296P0D1N001191,"('article', 18)","('heure', 15)","('code', 12)","('supplémentaire', 11)","('mentionner', 11)","('travail', 9)","('rémunération', 9)","('salarié', 7)","('patronal', 7)","('pouvoir', 7)"
AMANR5L15PO717460B2296P0D1N001192,"('pourcent', 8)","('social', 4)","('compter', 4)","('janvier', 4)","('code', 3)","('sécurité', 3)","('impôt', 3)","('entreprise', 3)","('article', 2)","('taux', 2)"
AMANR5L15PO717460B2296P0D1N001193,"('article', 4)","('pourcent', 4)","('taux', 3)","('nombre', 2)","('sécurité', 2)","('social', 2)","('devoir', 2)","('vise', 2)","('innovation', 2)","('correction', 2)"
AMANR5L15PO717460B2296P0D1N001194,"('acteur', 4)","('pénurie', 3)","('prendre', 2)","('préalable', 2)","('concerner', 2)","('prévoir', 2)","('médicament', 2)","('problématique', 2)","('ensemble', 2)","('chaine', 2)"
AMANR5L15PO717460B2296P0D1N001195,"('sportif', 7)","('consultation', 4)","('pratique', 4)","('médical', 4)","('obligatoire', 3)","('enfant', 3)","('adolescent', 3)","('certificat', 3)","('assurance', 3)","('supprimer', 2)"
AMANR5L15PO717460B2296P0D1N001196,"('naissance', 16)","('enfant', 15)","('prime', 10)","('social', 6)","('politique', 6)","('versement', 5)","('date', 5)","('famille', 5)","('foyer', 5)","('article', 4)"
AMANR5L15PO717460B2296P0D1N001197,"('année', 6)","('euro', 4)","('famille', 4)","('faire', 4)","('prestation', 3)","('pourcent', 3)","('million', 3)","('supprimer', 2)","('article', 2)","('retraite', 2)"
AMANR5L15PO717460B2296P0D1N001198,"('famille', 8)","('parent', 6)","('entreprise', 4)","('indemnité', 3)","('journalier', 3)","('ij', 3)","('groupe', 2)","('républicain', 2)","('maladie', 2)","('taux', 2)"
AMANR5L15PO717460B2296P0D1N001199,"('social', 12)","('soin', 8)","('établissement', 8)","('service', 8)","('aide', 8)","('acte', 6)","('article', 5)","('code', 5)","('accompagnement', 5)","('règle', 3)"
AMANR5L15PO717460B2296P0D1N001208,"('femme', 31)","('sage', 23)","('grossesse', 15)","('pouvoir', 14)","('médecin', 13)","('suivi', 12)","('arrêt', 11)","('travail', 9)","('patient', 5)","('santé', 5)"
AMANR5L15PO717460B2296P0D1N001209,"('article', 23)","('code', 15)","('degré', 15)","('cotisation', 12)","('prévoir', 12)","('travail', 12)","('social', 9)","('emploi', 8)","('sécurité', 7)","('charge', 7)"
AMANR5L15PO717460B2296P0D1N001211,"('social', 2)","('supprimer', 1)","('avancement', 1)","('janvier', 1)","('exonération', 1)","('cotisation', 1)","('heure', 1)","('supplémentaire', 1)","('perte', 1)","('recette', 1)"
AMANR5L15PO717460B2296P0D1N001213,"('référence', 2)","('substituer', 1)","('rédactionnel', 1)",,,,,,,
AMANR5L15PO717460B2296P0D1N001215,"('médicament', 7)","('vente', 4)","('prescription', 3)","('unité', 3)","('article', 2)","('degré', 2)","('ordonnance', 2)","('cadre', 2)","('ponctuel', 2)","('limité', 2)"
AMANR5L15PO717460B2296P0D1N001216,"('activité', 4)","('volume', 2)","('recette', 2)","('percevoir', 2)","('antérieurement', 2)","('établissement', 2)","('titre', 2)","('hôpital', 2)","('garantie', 1)","('pluriannuel', 1)"
AMANR5L15PO717460B2296P0D1N001217,"('mineur', 5)","('an', 5)","('acte', 4)","('contraceptif', 3)","('âge', 3)","('sexuel', 3)","('article', 2)","('revenir', 2)","('contre', 2)","('discernement', 2)"
AMANR5L15PO717460B2296P0D1N001219,"('santé', 2)","('médicamenteux', 1)","('insérer', 1)","('équivalent', 1)","('efficacité', 1)","('obéir', 1)","('critère', 1)","('contrôle', 1)","('produit', 1)","('france', 1)"
AMANR5L15PO717460B2296P0D1N001220,"('projet', 3)","('enfant', 3)","('devoir', 2)","('expression', 2)","('supprimer', 1)","('intégrer', 1)","('comprendre', 1)","('très', 1)","('bien', 1)","('ici', 1)"
AMANR5L15PO717460B2296P0D1N001223,"('prise', 2)","('charge', 2)","('dispositif', 2)","('médical', 2)","('pouvoir', 2)","('supprimer', 1)","('subordonner', 1)","('assurer', 1)","('engagement', 1)","('restituer', 1)"
AMANR5L15PO717460B2296P0D1N001225,"('état', 3)","('garantir', 2)","('choix', 2)","('article', 2)","('dispositif', 2)","('médical', 2)","('bon', 2)","('usage', 2)","('remise', 2)","('rédiger', 1)"
AMANR5L15PO717460B2296P0D1N001231,"('surcoût', 5)","('santé', 5)","('coefficient', 3)","('compenser', 3)","('article', 2)","('établissement', 2)","('réaliser', 2)","('délai', 1)","('mois', 1)","('compter', 1)"
AMANR5L15PO717460B2296P0D1N001232,"('taux', 5)","('part', 4)","('article', 3)","('dispositif', 3)","('médicament', 3)","('marge', 3)","('gros', 3)","('code', 2)","('sécurité', 2)","('social', 2)"
AMANR5L15PO717460B2296P0D1N001234,"('professionnel', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('libéral', 4)","('affilié', 4)","('régime', 4)","('code', 3)","('social', 3)","('taux', 3)"
AMANR5L15PO717460B2296P0D1N001240,"('maternel', 4)","('assistant', 3)","('site', 3)","('or', 3)","('renseigner', 3)","('accueil', 3)","('agrément', 2)","('pourcent', 2)","('professionnel', 2)","('disponibilité', 2)"
AMANR5L15PO717460B2296P0D1N001241,"('euro', 5)","('montant', 2)","('retraité', 2)","('pension', 2)","('retraite', 2)","('substituer', 1)","('toucher', 1)","('aiser', 1)","('convier', 1)","('comprendre', 1)"
